Time	mean_z_trans	Mod_R_deltaTMyr_z_trans
283.0	-0.767960511	-0.712796116
283.1	-0.767960511	-0.712796116
283.2	-0.767960511	-0.712796116
283.3	-0.767960511	-0.712796116
283.4	-0.767960511	-0.712796116
283.5	-0.767960511	-0.712796116
283.6	-0.767960511	-0.712796116
283.7	-0.767960511	-0.712796116
283.8	-0.767960511	-0.712796116
283.9	-0.767960511	-0.712796116
284.0	-0.767960511	-0.712796116
284.1	-0.767960511	-0.712796116
284.2	-0.767960511	-0.712796116
284.3	-0.767960511	-0.712796116
284.4	-0.767960511	-0.712796116
284.5	-0.767960511	-0.712796116
284.6	-0.767960511	-0.712796116
284.7	-0.767960511	-0.712796116
284.8	-0.767960511	-0.712796116
284.9	-0.767960511	-0.712796116
285.0	-0.767960511	-0.712796116
285.1	-0.767960511	-0.712796116
285.2	-0.767960511	-0.712796116
285.3	-0.767960511	-0.712796116
285.4	-0.767960511	-0.712796116
285.5	-0.767960511	-0.712796116
285.6	-0.767960511	-0.712796116
285.7	-0.767960511	-0.712796116
285.8	-0.767960511	-0.712796116
285.9	-0.767960511	-0.712796116
286.0	-0.767960511	-0.712796116
286.1	-0.767960511	-0.712796116
286.2	-0.767960511	-0.712796116
286.3	-0.767960511	-0.712796116
286.4	-0.767960511	-0.712796116
286.5	-0.767960511	-0.712796116
286.6	-0.767960511	-0.712796116
286.7	-0.767960511	-0.712796116
286.8	-0.767960511	-0.712796116
286.9	-0.767960511	-0.712796116
287.0	-0.767960511	-0.712796116
287.1	-0.767960511	-0.712796116
287.2	-0.767960511	-0.712796116
287.3	-0.767960511	-0.712796116
287.4	-0.767960511	-0.712796116
287.5	-0.767960511	-0.712796116
287.6	-0.767960511	-0.712796116
287.7	-0.767960511	-0.712796116
287.8	-0.767960511	-0.712796116
287.9	-0.767960511	-0.712796116
288.0	-0.767960511	-0.712796116
288.1	-0.767960511	-0.712796116
288.2	-0.767960511	-0.712796116
288.3	-0.767960511	-0.712796116
288.4	-0.767960511	-0.712796116
288.5	-0.767960511	-0.712796116
288.6	-0.767960511	-0.712796116
288.7	-0.767960511	-0.712796116
288.8	-0.767960511	-0.712796116
288.9	-0.767960511	-0.712796116
289.0	-0.767960511	-0.712796116
289.1	-0.767960511	-0.712796116
289.2	-0.767960511	-0.712796116
289.3	-0.767960511	-0.712796116
289.4	-0.767960511	-0.712796116
289.5	-0.767960511	-0.712796116
289.6	-0.767960511	-0.712796116
289.7	-0.767960511	-0.712796116
289.8	-0.767960511	-0.712796116
289.9	-0.767960511	-0.712796116
290.0	-0.767960511	-0.712796116
290.1	-0.767960511	-0.712796116
290.2	-0.767960511	-0.712796116
290.3	-0.767960511	-0.712796116
290.4	-0.767960511	-0.712796116
290.5	-0.767960511	-0.712796116
290.6	-0.767960511	-0.712796116
290.7	-0.767960511	-0.712796116
290.8	-0.767960511	-0.712796116
290.9	-0.767960511	-0.712796116
291.0	-0.767960511	-0.712796116
291.1	-0.767960511	-0.712796116
291.2	-0.767960511	-0.712796116
291.3	-0.767960511	-0.712796116
291.4	-0.767960511	-0.712796116
291.5	-0.767960511	-0.712796116
291.6	-0.767960511	-0.712796116
291.7	-0.767960511	-0.712796116
291.8	-0.767960511	-0.712796116
291.9	-0.767960511	-0.712796116
292.0	-1.026402371	-0.307455988
292.1	-1.026402371	-0.307455988
292.2	-1.026402371	-0.307455988
292.3	-1.026402371	-0.307455988
292.4	-1.026402371	-0.307455988
292.5	-1.026402371	-0.307455988
292.6	-1.026402371	-0.307455988
292.7	-1.026402371	-0.307455988
292.8	-1.026402371	-0.307455988
292.9	-1.026402371	-0.307455988
293.0	-1.026402371	-0.307455988
293.1	-1.026402371	-0.307455988
293.2	-1.026402371	-0.307455988
293.3	-1.026402371	-0.307455988
293.4	-1.026402371	-0.307455988
293.5	-1.026402371	-0.307455988
293.6	-1.026402371	-0.307455988
293.7	-1.026402371	-0.307455988
293.8	-1.026402371	-0.307455988
293.9	-1.026402371	-0.307455988
294.0	-1.026402371	-0.307455988
294.1	-1.026402371	-0.307455988
294.2	-1.026402371	-0.307455988
294.3	-1.026402371	-0.307455988
294.4	-1.026402371	-0.307455988
294.5	-1.026402371	-0.307455988
294.6	-1.026402371	-0.307455988
294.7	-1.026402371	-0.307455988
294.8	-1.026402371	-0.307455988
294.9	-1.026402371	-0.307455988
295.0	-1.026402371	-0.307455988
295.1	-1.026402371	-0.307455988
295.2	-1.026402371	-0.307455988
295.3	-1.026402371	-0.307455988
295.4	-1.026402371	-0.307455988
295.5	-1.026402371	-0.307455988
295.6	-1.026402371	-0.307455988
295.7	-1.026402371	-0.307455988
295.8	-1.026402371	-0.307455988
295.9	-1.026402371	-0.307455988
296.0	-1.026402371	-0.307455988
296.1	-1.026402371	-0.307455988
296.2	-1.026402371	-0.307455988
296.3	-1.026402371	-0.307455988
296.4	-1.026402371	-0.307455988
296.5	-1.026402371	-0.307455988
296.6	-1.026402371	-0.307455988
296.7	-1.026402371	-0.307455988
296.8	-1.026402371	-0.307455988
296.9	-1.026402371	-0.307455988
297.0	-1.026402371	-0.307455988
297.1	-1.026402371	-0.307455988
297.2	-1.026402371	-0.307455988
297.3	-1.026402371	-0.307455988
297.4	-1.026402371	-0.307455988
297.5	-1.026402371	-0.307455988
297.6	-1.026402371	-0.307455988
297.7	-1.026402371	-0.307455988
297.8	-1.026402371	-0.307455988
297.9	-1.026402371	-0.307455988
298.0	-1.026402371	-0.307455988
298.1	-1.026402371	-0.307455988
298.2	-1.026402371	-0.307455988
298.3	-1.026402371	-0.307455988
298.4	-1.026402371	-0.307455988
298.5	-1.026402371	-0.307455988
298.6	-1.026402371	-0.307455988
298.7	-1.026402371	-0.307455988
298.8	-1.026402371	-0.307455988
298.9	-1.026402371	-0.307455988
299.0	-1.026402371	-0.307455988
299.1	-1.026402371	-0.307455988
299.2	-1.026402371	-0.307455988
299.3	-1.026402371	-0.307455988
299.4	-1.026402371	-0.307455988
299.5	-1.026402371	-0.307455988
299.6	-1.026402371	-0.307455988
299.7	-1.026402371	-0.307455988
299.8	-1.026402371	-0.307455988
299.9	-1.026402371	-0.307455988
300.0	-1.026402371	-0.307455988
