id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon,range
3661,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3662,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3663,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3664,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3665,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3666,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3667,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3668,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3669,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3670,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3671,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3672,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3673,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3674,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3675,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3676,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3677,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3678,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3679,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3680,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3681,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3682,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3683,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3684,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3685,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3686,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3687,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3688,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3597,283.5,290.1,Baeotherates,-0.73,-37.6741,"(290.1, 283.5)"
3596,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3595,283.5,290.1,Delorhynchus,-0.73,-37.6741,"(290.1, 283.5)"
3591,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
3590,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
3589,273.01,283.5,Acleistorhinus,1.0593,-36.5887,"(283.5, 273.01)"
3424,283.5,290.1,Protocaptorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3423,273.01,283.5,Captorhinikos,1.0593,-36.5887,"(283.5, 273.01)"
3421,273.01,283.5,Captorhinikos,1.0593,-36.5887,"(283.5, 273.01)"
3422,273.01,283.5,Captorhinikos,1.0593,-36.5887,"(283.5, 273.01)"
3419,273.01,283.5,Labidosaurikos,1.0593,-36.5887,"(283.5, 273.01)"
3410,273.01,283.5,Labidosaurikos,0.2573,-40.5036,"(283.5, 273.01)"
3409,273.01,283.5,Captorhinikos,0.2573,-40.5036,"(283.5, 273.01)"
3408,273.01,283.5,Captorhinikos,0.2573,-40.5036,"(283.5, 273.01)"
3382,283.5,290.1,Captorhinus,-2.9808,-38.7628,"(290.1, 283.5)"
3245,283.5,290.1,Protocaptorhinus,-2.9808,-38.7628,"(290.1, 283.5)"
3236,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3235,283.5,290.1,Protocaptorhinus,-2.9808,-38.7628,"(290.1, 283.5)"
3233,273.01,283.5,Labidosaurikos,1.0593,-36.5887,"(283.5, 273.01)"
3234,273.01,283.5,Labidosaurikos,1.0593,-36.5887,"(283.5, 273.01)"
3207,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3208,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3209,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3210,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3211,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3212,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3213,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3214,283.5,290.1,Thuringothyris,15.5589,17.6663,"(290.1, 283.5)"
3206,283.5,290.1,Eudibamus,15.5589,17.6663,"(290.1, 283.5)"
3199,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3200,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3201,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3202,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3203,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3204,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3198,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
3197,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
3195,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
3196,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
3193,273.01,283.5,Captorhinus,-1.1855,-37.6892,"(283.5, 273.01)"
3145,273.01,283.5,Captorhinus,0.2573,-40.5036,"(283.5, 273.01)"
3144,273.01,283.5,Labidosaurus,0.2573,-40.5036,"(283.5, 273.01)"
3143,273.01,283.5,Captorhinus,0.2573,-40.5036,"(283.5, 273.01)"
3141,273.01,283.5,Labidosaurikos,0.2573,-40.5036,"(283.5, 273.01)"
3142,273.01,283.5,Labidosaurikos,0.2573,-40.5036,"(283.5, 273.01)"
3140,273.01,283.5,Labidosaurikos,2.4612,-39.3231,"(283.5, 273.01)"
3131,273.01,283.5,Captorhinikos,2.4612,-39.3231,"(283.5, 273.01)"
3130,273.01,283.5,Captorhinikos,0.2573,-40.5036,"(283.5, 273.01)"
3032,273.01,283.5,Captorhinikos,1.0593,-36.5887,"(283.5, 273.01)"
3033,273.01,283.5,Captorhinikos,1.0593,-36.5887,"(283.5, 273.01)"
3034,273.01,283.5,Captorhinikos,1.0593,-36.5887,"(283.5, 273.01)"
3031,273.01,283.5,Captorhinikos,1.0593,-36.5887,"(283.5, 273.01)"
3010,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
2926,283.5,290.1,Mesosaurus,-68.9066,-34.0759,"(290.1, 283.5)"
2925,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2924,283.5,290.1,Stereosternum,-44.2162,-30.6853,"(290.1, 283.5)"
2914,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2915,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2916,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2917,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2918,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2919,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2920,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2921,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2922,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2923,283.5,290.1,Brazilosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2913,283.5,290.1,Mesosaurus,-44.2162,-30.6853,"(290.1, 283.5)"
2912,283.5,290.1,Stereosternum,-44.2162,-30.6853,"(290.1, 283.5)"
2883,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2884,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2885,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2886,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2887,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2888,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2889,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2890,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2891,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2882,283.5,290.1,Mesosaurus,-56.3578,-33.4713,"(290.1, 283.5)"
2880,283.5,290.1,Stereosternum,-56.3578,-33.4713,"(290.1, 283.5)"
2881,283.5,290.1,Stereosternum,-56.3578,-33.4713,"(290.1, 283.5)"
2876,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2877,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2878,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2879,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2863,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2864,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2865,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2866,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2867,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2868,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2869,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2870,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2871,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2872,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2873,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2874,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2875,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2860,283.5,290.1,Brazilosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2861,283.5,290.1,Brazilosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2862,283.5,290.1,Brazilosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2859,283.5,290.1,Brazilosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2855,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2856,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2857,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2858,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2854,283.5,290.1,Mesosaurus,-49.9329,-27.4876,"(290.1, 283.5)"
2852,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2851,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
2848,283.5,290.1,Brazilosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
2849,283.5,290.1,Brazilosaurus,-51.5302,-31.2549,"(290.1, 283.5)"
