id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon
3836,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3832,208.5,227.0,Coelophysis,1.3531,-47.1801
3833,208.5,227.0,Coelophysis,1.3531,-47.1801
3834,208.5,227.0,Coelophysis,1.3531,-47.1801
3835,208.5,227.0,Coelophysis,1.3531,-47.1801
3831,208.5,227.0,Postosuchus,1.3531,-47.1801
3826,208.5,227.0,Grallator,29.1465,1.6184
3825,208.5,227.0,Eubrontes,29.1465,1.6184
3822,227.0,237.0,Thecodontosaurus,24.9561,4.3648
3821,208.5,227.0,Coelophysis,3.8366,-43.9682
3820,208.5,227.0,Trilophosaurus,1.3531,-47.1801
3815,208.5,227.0,Riojasaurus,-50.4972,-22.4201
3813,227.0,237.0,Azendohsaurus,5.2142,-4.8883
3812,227.0,237.0,Parasuchus,5.2142,-4.8883
3811,227.0,237.0,Arganasuchus,5.2142,-4.8883
3810,208.5,227.0,Technosaurus,-1.4701,-41.4649
3809,208.5,227.0,Typothorax,-1.4701,-41.4649
3806,208.5,227.0,Protoavis,-1.4701,-41.4649
3807,208.5,227.0,Protoavis,-1.4701,-41.4649
3808,208.5,227.0,Protoavis,-1.4701,-41.4649
3805,208.5,227.0,Paratypothorax,-1.4701,-41.4649
3804,208.5,227.0,Typothorax,1.3531,-47.1801
3803,208.5,227.0,Calyptosuchus,1.3531,-47.1801
3802,208.5,227.0,Leptosuchus,1.3531,-47.1801
3800,208.5,227.0,Revueltosaurus,6.739,-20.6269
3798,237.0,247.2,Tetrasauropus,-49.5084,-37.0935
3799,237.0,247.2,Tetrasauropus,-49.5084,-37.0935
3796,208.5,227.0,Trilophosaurus,1.3531,-47.1801
3795,208.5,227.0,Leptosuchus,1.3531,-47.1801
3794,208.5,227.0,Crosbysaurus,1.3531,-47.1801
3793,208.5,227.0,Crosbysaurus,1.3531,-47.1801
3792,208.5,227.0,Rutiodon,1.3531,-47.1801
3791,208.5,227.0,Poposaurus,1.3531,-47.1801
3790,208.5,227.0,Desmatosuchus,1.3531,-47.1801
3789,208.5,227.0,Stagonolepis,1.3531,-47.1801
3788,208.5,227.0,Trilophosaurus,1.3531,-47.1801
3787,208.5,227.0,Crosbysaurus,1.3531,-47.1801
3786,208.5,227.0,Crosbysaurus,1.3531,-47.1801
3785,208.5,227.0,Diphydontosaurus,-1.4701,-41.4649
3784,208.5,227.0,Planocephalosaurus,-1.4701,-41.4649
3783,208.5,227.0,Fraserosphenodon,-1.4701,-41.4649
3782,208.5,227.0,Trilophosaurus,-1.4701,-41.4649
3781,208.5,227.0,Protecovasaurus,-1.4701,-41.4649
3780,208.5,227.0,Crosbysaurus,-1.4701,-41.4649
3779,208.5,227.0,Revueltosaurus,-1.4701,-41.4649
3778,208.5,227.0,Paleollanosaurus,-1.4701,-41.4649
3777,208.5,227.0,Trilophosaurus,-1.4701,-41.4649
3776,208.5,227.0,Protecovasaurus,-1.4701,-41.4649
3775,208.5,227.0,Protecovasaurus,-1.4701,-41.4649
3774,208.5,227.0,Crosbysaurus,-1.4701,-41.4649
3773,208.5,227.0,Crosbysaurus,-1.4701,-41.4649
3772,208.5,227.0,Revueltosaurus,-1.4701,-41.4649
3771,208.5,227.0,Tecovasaurus,-1.4701,-41.4649
3770,237.0,242.0,Gracilisuchus,-49.9808,-33.9335
3769,237.0,242.0,Luperosuchus,-49.9808,-33.9335
3768,237.0,242.0,Lagerpeton,-49.9808,-33.9335
3767,237.0,242.0,Chanaresuchus,-49.9808,-33.9335
3766,237.0,242.0,Gualosuchus,-49.9808,-33.9335
3764,227.0,233.4,Stagonolepis,33.3149,17.5971
3763,227.0,233.4,Silesaurus,33.3149,17.5971
3762,227.0,233.4,Parasuchus,33.3149,17.5971
3761,227.0,233.4,Polonosuchus,33.3149,17.5971
3759,208.5,227.0,Revueltosaurus,1.3531,-47.1801
3758,208.5,227.0,Coelophysis,3.8366,-43.9682
3747,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3748,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3749,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3750,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3751,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3752,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3753,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
3754,208.5,227.0,Machaeroprosopus,3.8366,-43.9682
