Rotated Lat,Rotated Lon,genus,age_max,age_min,range
14.5677,17.8279,Onchiodon,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Onchiodon,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Melanerpeton,298.9,293.52,"(298.9, 293.52)"
16.0936,19.7625,Melanerpeton,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Apateon,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Apateon,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Apateon,298.9,293.52,"(298.9, 293.52)"
9.6624,15.1988,Apateon,298.9,290.1,"(298.9, 290.1)"
14.5677,17.8279,Apateon,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Apateon,303.7,298.9,"(303.7, 298.9)"
15.0951,17.64,Apateon,293.52,290.1,"(293.52, 290.1)"
15.0951,17.64,Apateon,293.52,290.1,"(293.52, 290.1)"
13.1412,15.7725,Apateon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Apateon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Apateon,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Apateon,303.7,293.52,"(303.7, 293.52)"
13.1412,15.7725,Apateon,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Apateon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Apateon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Apateon,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Apateon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Apateon,300.3,297.7,"(300.3, 297.7)"
13.1412,15.7725,Apateon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Apateon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Eryops,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Palatinerpeton,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Sclerocephalus,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Apateon,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Sclerocephalus,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,290.1,"(298.9, 290.1)"
14.5677,17.8279,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Melanerpeton,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Sclerocephalus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Archegosaurus,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Glanochthon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Glanochthon,298.9,290.1,"(298.9, 290.1)"
13.1412,15.7725,Glanochthon,298.9,293.52,"(298.9, 293.52)"
13.1412,15.7725,Glanochthon,298.9,293.52,"(298.9, 293.52)"
4.6147,-41.8361,Chenoprosopus,303.7,298.9,"(303.7, 298.9)"
-1.3035,-22.1408,Eryops,305.9,303.7,"(305.9, 303.7)"
-1.3035,-22.1408,Isodectes,307.4,300.3,"(307.4, 300.3)"
-1.3035,-22.1408,Eryops,307.4,300.3,"(307.4, 300.3)"
4.6147,-41.8361,Platyhystrix,303.7,298.9,"(303.7, 298.9)"
-0.4818,-24.8936,Edops,303.7,298.9,"(303.7, 298.9)"
3.7525,-35.5757,Acroplous,293.52,290.1,"(293.52, 290.1)"
3.6502,-45.7873,Eryops,303.7,290.1,"(303.7, 290.1)"
3.6502,-45.7873,Platyhystrix,303.7,290.1,"(303.7, 290.1)"
-0.4818,-24.8936,Broiliellus,298.9,290.1,"(298.9, 290.1)"
14.5677,17.8279,Apateon,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Apateon,298.9,293.52,"(298.9, 293.52)"
14.5677,17.8279,Apateon,298.9,293.52,"(298.9, 293.52)"
