id,Rotated Lat,Rotated Lon,genus,locality
2004,47.012,29.6875,Benthosuchus,Volgograd
2005,47.012,29.6875,Benthosuchus,Volgograd
2006,47.012,29.6875,Benthosuchus,Volgograd
2007,47.012,29.6875,Benthosuchus,Volgograd
2008,47.012,29.6875,Benthosuchus,Volgograd
2009,47.012,29.6875,Benthosuchus,Volgograd
2010,47.012,29.6875,Benthosuchus,Volgograd
2011,47.012,29.6875,Benthosuchus,Volgograd
2012,47.012,29.6875,Benthosuchus,Volgograd
2013,47.012,29.6875,Benthosuchus,Volgograd
2014,47.012,29.6875,Benthosuchus,Volgograd
2015,47.012,29.6875,Benthosuchus,Volgograd
2016,47.012,29.6875,Benthosuchus,Volgograd
2017,47.012,29.6875,Benthosuchus,Volgograd
2018,47.012,29.6875,Benthosuchus,Volgograd
2019,47.012,29.6875,Benthosuchus,Volgograd
2020,47.012,29.6875,Benthosuchus,Volgograd
2021,47.012,29.6875,Benthosuchus,Volgograd
2022,47.012,29.6875,Benthosuchus,Volgograd
2023,47.012,29.6875,Benthosuchus,Volgograd
2024,47.012,29.6875,Benthosuchus,Volgograd
2025,47.012,29.6875,Benthosuchus,Volgograd
2026,47.012,29.6875,Benthosuchus,Volgograd
2027,47.012,29.6875,Benthosuchus,Volgograd
2028,47.012,29.6875,Benthosuchus,Volgograd
2029,47.012,29.6875,Benthosuchus,Volgograd
2030,47.012,29.6875,Benthosuchus,Volgograd
2031,47.012,29.6875,Benthosuchus,Volgograd
2032,47.012,29.6875,Benthosuchus,Volgograd
2033,47.012,29.6875,Benthosuchus,Volgograd
2034,47.012,29.6875,Benthosuchus,Volgograd
2035,47.012,29.6875,Benthosuchus,Volgograd
2036,47.012,29.6875,Benthosuchus,Volgograd
2037,47.012,29.6875,Benthosuchus,Volgograd
2038,47.012,29.6875,Benthosuchus,Volgograd
2039,47.012,29.6875,Benthosuchus,Volgograd
2040,47.012,29.6875,Benthosuchus,Volgograd
2041,47.012,29.6875,Benthosuchus,Volgograd
2042,47.012,29.6875,Benthosuchus,Volgograd
2043,47.012,29.6875,Benthosuchus,Volgograd
2044,47.012,29.6875,Benthosuchus,Volgograd
2045,47.012,29.6875,Benthosuchus,Volgograd
2046,47.012,29.6875,Benthosuchus,Volgograd
2047,47.012,29.6875,Benthosuchus,Volgograd
2048,47.012,29.6875,Benthosuchus,Volgograd
2049,47.012,29.6875,Benthosuchus,Volgograd
2050,47.012,29.6875,Benthosuchus,Volgograd
2051,47.012,29.6875,Benthosuchus,Volgograd
2052,47.012,29.6875,Benthosuchus,Volgograd
2053,47.012,29.6875,Benthosuchus,Volgograd
2054,47.012,29.6875,Benthosuchus,Volgograd
2055,47.012,29.6875,Benthosuchus,Volgograd
2056,47.012,29.6875,Benthosuchus,Volgograd
2057,47.012,29.6875,Benthosuchus,Volgograd
2058,47.012,29.6875,Benthosuchus,Volgograd
2059,47.012,29.6875,Benthosuchus,Volgograd
2060,47.012,29.6875,Benthosuchus,Volgograd
2061,47.012,29.6875,Benthosuchus,Volgograd
2062,47.012,29.6875,Benthosuchus,Volgograd
2063,47.012,29.6875,Benthosuchus,Volgograd
2064,47.012,29.6875,Benthosuchus,Volgograd
2065,47.012,29.6875,Benthosuchus,Volgograd
2066,47.012,29.6875,Benthosuchus,Volgograd
2067,47.012,29.6875,Benthosuchus,Volgograd
2068,47.012,29.6875,Benthosuchus,Volgograd
2069,47.012,29.6875,Benthosuchus,Volgograd
2070,47.012,29.6875,Benthosuchus,Volgograd
2071,47.012,29.6875,Benthosuchus,Volgograd
2072,47.012,29.6875,Benthosuchus,Volgograd
2073,47.012,29.6875,Benthosuchus,Volgograd
2074,47.012,29.6875,Benthosuchus,Volgograd
2075,47.012,29.6875,Benthosuchus,Volgograd
2076,47.012,29.6875,Benthosuchus,Volgograd
2077,47.012,29.6875,Benthosuchus,Volgograd
2078,47.012,29.6875,Benthosuchus,Volgograd
2079,47.012,29.6875,Benthosuchus,Volgograd
2080,47.012,29.6875,Benthosuchus,Volgograd
2081,47.012,29.6875,Benthosuchus,Volgograd
2082,47.012,29.6875,Benthosuchus,Volgograd
2083,47.012,29.6875,Benthosuchus,Volgograd
2084,47.012,29.6875,Benthosuchus,Volgograd
2085,47.012,29.6875,Benthosuchus,Volgograd
2086,47.012,29.6875,Benthosuchus,Volgograd
2087,47.012,29.6875,Benthosuchus,Volgograd
2088,47.012,29.6875,Benthosuchus,Volgograd
2089,47.012,29.6875,Benthosuchus,Volgograd
2090,47.012,29.6875,Benthosuchus,Volgograd
2091,47.012,29.6875,Benthosuchus,Volgograd
2092,47.012,29.6875,Benthosuchus,Volgograd
2093,47.012,29.6875,Benthosuchus,Volgograd
2094,47.012,29.6875,Benthosuchus,Volgograd
2095,47.012,29.6875,Benthosuchus,Volgograd
2096,47.012,29.6875,Benthosuchus,Volgograd
2097,47.012,29.6875,Benthosuchus,Volgograd
2098,47.012,29.6875,Benthosuchus,Volgograd
1848,47.012,29.6875,Thoosuchus,Volgograd
1847,71.3841,30.5145,Tungussogyrinus,Evenk Autonomous District
1846,71.3841,30.5145,Tungussogyrinus,Evenk Autonomous District
1845,71.3841,30.5145,Tungussogyrinus,Evenk Autonomous District
1844,48.8243,42.2106,Eryosuchus,Orenburg
1843,-2.7466,-38.9219,Eryops,Texas
1842,9.6624,15.1988,Actinodon,Allier
1841,-60.8807,-1.1886,Lydekkerina,KwaZulu-Natal
1840,9.7821,-43.158,Hadrokkosaurus,Arizona
1839,9.7821,-43.158,Eocyclotosaurus,Arizona
1838,9.7821,-43.158,Rhadalognathus,Arizona
1837,40.6921,38.7763,Platyoposaurus,Orenburg
1836,40.6921,38.7763,Tryphosuchus,Orenburg
1835,-1.1855,-37.6892,Cacops,Texas
1834,38.8994,37.6487,Melosaurus,Bashkortostan
1833,45.3047,25.947,Dvinosaurus,Archangelsk
1832,45.3047,25.947,Dvinosaurus,Archangelsk
1831,45.3047,25.947,Dvinosaurus,Archangelsk
1830,-62.8262,133.5696,Paracyclotosaurus,New South Wales
1829,29.45,26.3383,Czatkobatrachus,Malopolskie
1828,29.45,26.3383,Parotosuchus,Malopolskie
1827,1.3531,-47.1801,Anaschisma,Arizona
1826,1.3531,-47.1801,Anaschisma,Arizona
1825,1.3531,-47.1801,Anaschisma,Arizona
1824,-1.3878,-41.1268,Metoposaurus,Texas
1823,-1.3878,-41.1268,Metoposaurus,Texas
1822,52.3465,25.1911,Wetlugasaurus,Komi
1821,52.3465,25.1911,Angusaurus,Komi
1820,52.3465,25.1911,Vyborosaurus,Komi
1819,40.1309,144.5677,Aphaneramma,Primorye
1818,40.1309,144.5677,Aphaneramma,Primorye
1817,1.3531,-47.1801,Apachesaurus,Arizona
1816,1.3531,-47.1801,Apachesaurus,Arizona
1815,37.6253,13.0683,Metoposaurus,Lorraine
1814,37.6253,13.0683,Plagiosaurus,Lorraine
1813,1.3531,-47.1801,Apachesaurus,Arizona
1812,1.3531,-47.1801,Anaschisma,Arizona
1811,1.3531,-47.1801,Anaschisma,Arizona
1810,1.3531,-47.1801,Anaschisma,Arizona
1809,16.6404,19.5629,Onchiodon,Saxony
1808,16.6404,19.5629,Onchiodon,Saxony
1807,16.6404,19.5629,Apateon,Saxony
1806,16.6404,19.5629,Branchierpeton,Saxony
1805,16.6404,19.5629,Acanthostomatops,Saxony
1804,1.3531,-47.1801,Anaschisma,New Mexico
1803,32.5932,9.3339,Plagiosaurus,Luxembourg
1802,32.5932,9.3339,Cyclotosaurus,Luxembourg
1801,24.5505,12.962,Cyclotosaurus,England
1800,24.5505,12.962,Cyclotosaurus,England
1799,24.5505,12.962,Mastodonsaurus,England
1798,17.7901,21.2009,Apateon,Czechia
1797,1.3531,-47.1801,Anaschisma,Arizona
1796,1.3531,-47.1801,Anaschisma,Arizona
1795,1.3531,-47.1801,Apachesaurus,Arizona
1794,1.3531,-47.1801,Apachesaurus,Arizona
1793,1.3531,-47.1801,Apachesaurus,New Mexico
1792,33.3149,17.5971,Cyclotosaurus,Opole
1791,33.3149,17.5971,Metoposaurus,Opole
1790,33.3149,17.5971,Cyclotosaurus,Opole
1789,3.8366,-43.9682,Anaschisma,New Mexico
1782,-0.73,-37.6741,Cacops,Oklahoma
1783,-0.73,-37.6741,Cacops,Oklahoma
1784,-0.73,-37.6741,Cacops,Oklahoma
1785,-0.73,-37.6741,Cacops,Oklahoma
1786,-0.73,-37.6741,Cacops,Oklahoma
1787,-0.73,-37.6741,Cacops,Oklahoma
1788,-0.73,-37.6741,Cacops,Oklahoma
1781,-0.73,-37.6741,Doleserpeton,Oklahoma
1780,-0.73,-37.6741,Tersomius,Oklahoma
