Locality,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
Volgograd,1955,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1956,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1957,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1958,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1959,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1960,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1961,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1962,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1963,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1964,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1965,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1966,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1967,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1968,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1969,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1970,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1971,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1972,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1973,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1974,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1975,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1976,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1977,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1978,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1979,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1980,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1981,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1982,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1983,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1984,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1985,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,1986,Benthosuchus,251.2,247.2,47.012,29.6875,1
