Species	Status	min_age	max_age
Trimerorhachis	extinct	283.5	290.1
Doleserpeton	extinct	273.01	286.1
Slaugenhopia	extinct	266.9	283.5
Isodectes	extinct	307.4	309.8
Isodectes	extinct	307.4	309.8
Trimerorhachis	extinct	273.01	290.1
Trimerorhachis	extinct	273.01	290.1
Eryops	extinct	273.01	290.1
Nigerpeton	extinct	251.902	254.14
Anakamacops	extinct	266.9	273.01
Parotosuchus_Temperate_N	extinct	247.2	251.2
Parotosuchus_Temperate_N	extinct	247.2	251.2
Yarengia	extinct	247.2	251.2
Eryosuchus_Temperate_N	extinct	247.2	251.2
Mastodonsaurus_Temperate_N	extinct	237.0	242.0
Plagioscutum	extinct	237.0	242.0
Eryops	extinct	286.1	298.9
Zatrachys	extinct	286.1	298.9
Acheloma	extinct	286.1	298.9
Phonerpeton	extinct	286.1	298.9
Eryops	extinct	286.1	298.9
Platyhystrix	extinct	286.1	298.9
Georgenthalia	extinct	283.5	290.1
Konzhukovia_Temperate_N	extinct	264.28	266.9
Trimerorhachis	extinct	273.01	286.1
Eryops	extinct	273.01	286.1
Zatrachys	extinct	290.1	298.9
Trimerorhachis	extinct	290.1	298.9
Chenoprosopus	extinct	286.1	298.9
Dvinosaurus	extinct	256.8	259.51
Uruyiella	extinct	201.4	237.0
Platyoposaurus	extinct	266.9	276.5
Platyoposaurus	extinct	264.28	266.9
Platyoposaurus	extinct	264.28	266.9
Melosaurus	extinct	264.28	266.9
Eryops	extinct	273.01	286.1
Trimerorhachis	extinct	273.01	286.1
Melosaurus	extinct	266.9	276.5
Zygosaurus	extinct	266.9	276.5
Intasuchus	extinct	273.01	276.5
Syndyodosuchus	extinct	273.01	276.5
Rileymillerus	extinct	208.5	227.0
Eocyclotosaurus	extinct	242.0	247.2
Eocyclotosaurus	extinct	242.0	247.2
Dvinosaurus	extinct	259.51	264.28
Eryops	extinct	273.01	290.1
Cyclotosaurus_Temperate_N	extinct	208.5	227.0
Lapillopsis	extinct	251.2	251.902
Batrachosuchus_Temperate_S	extinct	242.0	247.2
Pasawioops	extinct	283.5	290.1
Pasawioops	extinct	283.5	290.1
Tambachia	extinct	283.5	290.1
Gerobatrachus	extinct	273.01	283.5
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Anaschisma	extinct	227.0	237.0
Triadobatrachus	extinct	248.9	251.902
Apachesaurus	extinct	213.2	227.0
