genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Proterosuchus,-62.64909,61.21759,0,1,0,1,0,123.86668,9.317361886423358
Protorosaurus,25.61333,27.6348,0,1,0,0,0,2.021469999999997,-0.160706169275761
Provelosaurus,-53.79132,-51.32705,0,0,0,1,0,2.464269999999999,-0.12626174150495584
Psephoderma,-9.650311,-9.650311,0,0,1,0,0,0.0,-0.3179518273738846
Psephosauriscus,-12.54747,-9.650311,0,0,1,0,0,2.8971590000000003,-0.0925882683945763
Psephosaurus,-9.650311,26.11694,0,1,1,0,0,35.767251,2.4643031266228492
Pumiliopareia,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.3179518273738846
Qianichthyosaurus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Qianosuchus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Qianxisaurus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Quasianosteosaurus,47.8035,47.8035,0,1,0,0,0,0.0,-0.3179518273738846
Rautiania,45.43791,45.43791,0,1,0,0,0,0.0,-0.3179518273738846
Retymaijychampsa,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Rhipaeosaurus,41.97247,44.38761,0,1,0,0,0,2.415140000000001,-0.13008345500174803
Rhombopholis,23.39688,24.55053,0,1,1,0,0,1.153649999999999,-0.22821195813768502
Rothianiscus,2.689371,2.689371,0,0,1,0,0,0.0,-0.3179518273738846
Ruhuhuaria,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Sanchiaosaurus,15.06738,15.06738,0,0,1,0,0,0.0,-0.3179518273738846
Sanchuansaurus,35.97523,35.97523,0,1,0,0,0,0.0,-0.3179518273738846
Santaisaurus,61.21759,61.21759,0,1,0,0,0,0.0,-0.3179518273738846
Sarmatosuchus,48.82432,48.82432,0,1,0,0,0,0.0,-0.3179518273738846
Saurodektes,-62.64909,-58.08447,0,0,0,1,0,4.564619999999998,0.037119816463450424
Sauropareion,-62.64909,-58.08447,0,0,0,1,0,4.564619999999998,0.037119816463450424
Saurorictus,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.3179518273738846
Saurosternon,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.3179518273738846
