id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,
4610,601687,601687,-9.895147,Placodus,251.2,242,Middle Triassic,"(251.2, 242.0)",IL,,Israel,,,"Horizon 2, Woodbearing Member A, Wadi Raman, Negev Desert",,
5762,601696,601696,-9.650311,Psephosauriscus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,,,"Beneckeia beds, Member B, Wadi Raman, Negev Desert",,
5763,601699,601699,-9.650311,Tanystropheus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,,,"Beneckeia beds, Member B, Wadi Raman, Negev Desert",,
5764,601701,601701,-9.650311,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,,,"Sandy beds, Member C, Wadi Raman, Negev Desert",,
5765,601702,601702,-9.650311,Psephosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,,,"Sandy beds, Member C, Wadi Raman, Negev Desert",,
6778,601739,601739,-7.490922,Placodus,242,239.7,Middle Triassic,"(242.0, 239.7)",IL,,Israel,,,"Ceratites zone 3, Member D, Wadi Raman, Negev Desert",,
6779,601740,601740,-7.490922,Nothosaurus,242,239.7,Middle Triassic,"(242.0, 239.7)",IL,,Israel,,,"Ceratites zone 3, Member D, Wadi Raman, Negev Desert",,
6956,601711,601711,-9.650311,Nothosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,,,"Sandy limestone, Ceratites zone 1, Member D, Wadi Raman, Negev Desert",,
6957,601712,601712,-9.650311,Placodus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,,,"Sandy limestone, Ceratites zone 1, Member D, Wadi Raman, Negev Desert",,
6958,601714,601714,-9.650311,Psephosaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,,,"Sandy limestone, Ceratites zone 1, Member D, Wadi Raman, Negev Desert",,
6989,1419210,1419210,-9.650311,Psephoderma,246.7,242,Middle Triassic,"(246.7, 242.0)",IL,,Israel,Gevanim,,Makhtech Ramon (HUJ collection),Makhtesh Ramon,
