age,syn_L_mean,syn_L_hpd_m95,syn_L_hpd_M95,syn_M_mean,syn_M_hpd_m95,syn_M_hpd_M95,syn_R_mean,syn_R_hpd_m95,syn_R_hpd_M95,rep_terr_L_mean,rep_terr_L_hpd_m95,rep_terr_L_hpd_M95,rep_terr_M_mean,rep_terr_M_hpd_m95,rep_terr_M_hpd_M95,rep_terr_R_mean,rep_terr_R_hpd_m95,rep_terr_R_hpd_M95
-287,0.167575955,0.067505,0.277863,0.167225209,0.072229,0.275747,0.000350746,-0.136352,0.13987,0.177742864,0.071736,0.297195,0.160674216,0.063333,0.270405,0.017068646,-0.143625,0.175628
-288,0.167575955,0.067505,0.277863,0.167225209,0.072229,0.275747,0.000350746,-0.136352,0.13987,0.177742864,0.071736,0.297195,0.160674216,0.063333,0.270405,0.017068646,-0.143625,0.175628
-289,0.167575955,0.067505,0.277863,0.167225209,0.072229,0.275747,0.000350746,-0.136352,0.13987,0.177742864,0.071736,0.297195,0.160674216,0.063333,0.270405,0.017068646,-0.143625,0.175628
-290,0.167575955,0.067505,0.277863,0.167225209,0.072229,0.275747,0.000350746,-0.136352,0.13987,0.177742864,0.071736,0.297195,0.160674216,0.063333,0.270405,0.017068646,-0.143625,0.175628
-291,0.232317362,0.122307,0.354981,0.090145855,0.023438,0.164457,0.142171505,0.007149,0.283942,0.39177191,0.126809,0.720715,0.143232291,0.017856,0.311137,0.248539623,-0.042615,0.590219
-292,0.232317362,0.122307,0.354981,0.090145855,0.023438,0.164457,0.142171505,0.007149,0.283942,0.39177191,0.126809,0.720715,0.143232291,0.017856,0.311137,0.248539623,-0.042615,0.590219
-293,0.232317362,0.122307,0.354981,0.090145855,0.023438,0.164457,0.142171505,0.007149,0.283942,0.39177191,0.126809,0.720715,0.143232291,0.017856,0.311137,0.248539623,-0.042615,0.590219
-294,0.232317362,0.122307,0.354981,0.090145855,0.023438,0.164457,0.142171505,0.007149,0.283942,0.39177191,0.126809,0.720715,0.143232291,0.017856,0.311137,0.248539623,-0.042615,0.590219
-295,0.232317362,0.122307,0.354981,0.090145855,0.023438,0.164457,0.142171505,0.007149,0.283942,0.39177191,0.126809,0.720715,0.143232291,0.017856,0.311137,0.248539623,-0.042615,0.590219
-296,0.232317362,0.122307,0.354981,0.090145855,0.023438,0.164457,0.142171505,0.007149,0.283942,0.39177191,0.126809,0.720715,0.143232291,0.017856,0.311137,0.248539623,-0.042615,0.590219
-297,0.232317362,0.122307,0.354981,0.090145855,0.023438,0.164457,0.142171505,0.007149,0.283942,0.39177191,0.126809,0.720715,0.143232291,0.017856,0.311137,0.248539623,-0.042615,0.590219
