genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Raranimus	-0.3033557921828507	0	1	0	0	0
Rastodon	-0.3033557921828507	0	0	0	1	0
Rechnisaurus	0.0801305935887447	0	0	0	1	0
Regisaurus	-0.3033557921828507	0	0	0	1	0
Reiszia	-0.3033557921828507	0	1	0	0	0
Repelinosaurus	-0.3033557921828507	0	0	1	0	0
Rhachiocephalus	0.5723376077457153	0	0	0	1	0
Rhadiodromus	-0.1929031836050105	0	1	0	0	0
Rhinodicynodon	-0.3033557921828507	0	1	0	0	0
Rhopalodon	-0.1916507585990155	0	1	0	0	0
Riebeeckosaurus	-0.3033557921828507	0	0	0	1	0
Riojanodon	-0.3033557921828507	0	0	0	1	0
Robertia	-0.164910715837998	0	0	0	1	0
Rubidgea	0.5723376077457153	0	0	0	1	0
Ruhuhucerberus	-0.3033557921828507	0	0	0	1	0
Sangusaurus	-0.1618289187905039	0	0	0	1	0
Sauroctonus	4.8698087615710834	0	1	0	1	0
Sauroscaptor	-0.3033557921828507	0	0	0	1	0
Scalenodon	-0.1618289187905039	0	0	0	1	0
Scalopocephalus	-0.3033557921828507	0	0	0	1	0
Scalopodontes	-0.3033557921828507	0	1	0	0	0
Scalopognathus	-0.3033557921828507	0	1	0	0	0
Scaloporhinus	-0.3033557921828507	0	0	0	1	0
Scaloposaurus	-0.1694539601639751	0	0	0	1	0
Scaloposuchus	-0.3033557921828507	0	0	0	1	0
Scylacoides	-0.3033557921828507	0	0	0	1	0
Scylacops	0.5723376077457153	0	0	0	1	0
Scylacosaurus	-0.2243812543900724	0	0	0	1	0
Scylacosuchus	-0.3033557921828507	0	1	0	0	0
Scymnosaurus	-0.3033557921828507	0	0	0	1	0
Sesamondontoides	-0.3033557921828507	0	0	0	1	0
Shaanbeikannemeyeria	-0.3033557921828507	0	1	0	0	0
Shansiodon	5.62857384927553	0	1	0	1	0
Shiguaignathus	-0.3033557921828507	0	1	0	0	0
Silphedosuchus	-0.3033557921828507	0	1	0	0	0
Silphoictidoides	-0.3033557921828507	0	0	0	1	0
Sinognathus	-0.3033557921828507	0	1	0	0	0
Sinokannemeyeria	-0.3033557921828507	0	1	0	0	0
Sinophoneus	-0.3033557921828507	0	1	0	0	0
Sintocephalus	-0.3033557921828507	0	0	0	1	0
Sludica	-0.2135263347951371	0	1	0	0	0
Smilesaurus	-0.1718659746707467	0	0	0	1	0
Stahleckeria	-0.1676507870994092	0	0	0	1	0
