,occurrence_no,locality,county_original,state,cc,notes
360,297334,Volgograd,Nikolsk,Volgograd,RU,
361,297334,Volgograd,Nikolsk,Volgograd,RU,
362,297334,Volgograd,Nikolsk,Volgograd,RU,
363,297334,Volgograd,Nikolsk,Volgograd,RU,
364,297334,Volgograd,Nikolsk,Volgograd,RU,
365,297334,Volgograd,Nikolsk,Volgograd,RU,
366,297334,Volgograd,Nikolsk,Volgograd,RU,
367,297334,Volgograd,Nikolsk,Volgograd,RU,
368,297334,Volgograd,Nikolsk,Volgograd,RU,
369,297334,Volgograd,Nikolsk,Volgograd,RU,
370,297334,Volgograd,Nikolsk,Volgograd,RU,
371,297334,Volgograd,Nikolsk,Volgograd,RU,
372,297334,Volgograd,Nikolsk,Volgograd,RU,
373,297334,Volgograd,Nikolsk,Volgograd,RU,
374,297334,Volgograd,Nikolsk,Volgograd,RU,
375,297334,Volgograd,Nikolsk,Volgograd,RU,
376,297334,Volgograd,Nikolsk,Volgograd,RU,
377,297334,Volgograd,Nikolsk,Volgograd,RU,
378,297334,Volgograd,Nikolsk,Volgograd,RU,
379,297334,Volgograd,Nikolsk,Volgograd,RU,
380,297334,Volgograd,Nikolsk,Volgograd,RU,
381,297334,Volgograd,Nikolsk,Volgograd,RU,
382,297334,Volgograd,Nikolsk,Volgograd,RU,
383,297334,Volgograd,Nikolsk,Volgograd,RU,
384,297334,Volgograd,Nikolsk,Volgograd,RU,
385,297334,Volgograd,Nikolsk,Volgograd,RU,
386,297334,Volgograd,Nikolsk,Volgograd,RU,
387,297334,Volgograd,Nikolsk,Volgograd,RU,
388,297334,Volgograd,Nikolsk,Volgograd,RU,
389,297334,Volgograd,Nikolsk,Volgograd,RU,
390,297334,Volgograd,Nikolsk,Volgograd,RU,
391,297334,Volgograd,Nikolsk,Volgograd,RU,
392,297334,Volgograd,Nikolsk,Volgograd,RU,
393,297334,Volgograd,Nikolsk,Volgograd,RU,
394,297334,Volgograd,Nikolsk,Volgograd,RU,
395,297334,Volgograd,Nikolsk,Volgograd,RU,
396,297334,Volgograd,Nikolsk,Volgograd,RU,
397,297334,Volgograd,Nikolsk,Volgograd,RU,
398,297334,Volgograd,Nikolsk,Volgograd,RU,
399,297335,Volgograd,Nikolsk,Volgograd,RU,
400,297926,Evenk Autonomous District,Amo-Tura region,Evenk Autonomous District,RU,
401,297945,Evenk Autonomous District,Amo-Tura region,Evenk Autonomous District,RU,
402,297946,Evenk Autonomous District,Amo-Tura region,Evenk Autonomous District,RU,
403,299698,Orenburg,Sol'-Iletsk,Orenburg,RU,
404,346290,Texas,Archer,Texas,US,
405,367864,Allier,Allier,Allier,FR,
406,368039,KwaZulu-Natal,Bergville,KwaZulu-Natal,ZA,
407,368795,Arizona,Navajo,Arizona,US,
408,368796,Arizona,Navajo,Arizona,US,
409,368797,Arizona,Navajo,Arizona,US,
410,382158,Orenburg,Krasnopartizan,Orenburg,RU,
411,382159,Orenburg,Krasnopartizan,Orenburg,RU,
412,384336,Texas,Baylor,Texas,US,
413,387723,Bashkortostan,Sterlitamak,Bashkortostan,RU,
414,388988,Archangelsk,,Archangelsk,RU,
415,388989,Archangelsk,,Archangelsk,RU,
416,388990,Archangelsk,,Archangelsk,RU,
417,399460,New South Wales,,New South Wales,AU,
418,401594,Malopolskie,Krakowski,Malopolskie,PL,
419,401598,Malopolskie,Krakowski,Malopolskie,PL,
420,406870,Arizona,Apache,Arizona,US,
421,407765,Arizona,Apache,Arizona,US,
422,407774,Arizona,Apache,Arizona,US,
423,410770,Texas,Crosby,Texas,US,
424,410787,Texas,Crosby,Texas,US,
425,411694,Komi,,Komi,RU,
426,411695,Komi,,Komi,RU,
427,411696,Komi,,Komi,RU,
428,477613,Primorye,,Primorye,RU,
429,477681,Primorye,,Primorye,RU,
430,483852,Arizona,Apache,Arizona,US,
431,483857,Arizona,Apache,Arizona,US,
432,486123,Lorraine,Meuthe-et-Moselle,Lorraine,FR,
433,486124,Lorraine,Meuthe-et-Moselle,Lorraine,FR,
434,517579,Arizona,Apache,Arizona,US,
435,517599,Arizona,Apache,Arizona,US,
436,517604,Arizona,Apache,Arizona,US,
437,517607,Arizona,Navajo,Arizona,US,
