Time,mean_gl_stages_z_trans,Mod_R_deltaTMyr_gl_stages_z_trans
243.7,0.94087146,0.084910612
243.8,0.94087146,0.084910612
243.9,0.94087146,0.084910612
244,0.94087146,0.084910612
244.1,0.94087146,0.084910612
244.2,0.94087146,0.084910612
244.3,0.94087146,0.084910612
244.4,0.94087146,0.084910612
244.5,0.94087146,0.084910612
244.6,0.94087146,0.084910612
244.7,0.94087146,0.084910612
244.8,0.94087146,0.084910612
244.9,0.94087146,0.084910612
245,0.94087146,0.084910612
245.1,0.94087146,0.084910612
245.2,0.94087146,0.084910612
245.3,0.94087146,0.084910612
245.4,0.94087146,0.084910612
245.5,0.94087146,0.084910612
245.6,0.94087146,0.084910612
245.7,0.94087146,0.084910612
245.8,0.94087146,0.084910612
245.9,0.94087146,0.084910612
246,0.94087146,0.084910612
246.1,0.94087146,0.084910612
246.2,0.94087146,0.084910612
246.3,0.94087146,0.084910612
246.4,0.94087146,0.084910612
246.5,0.94087146,0.084910612
246.6,0.94087146,0.084910612
246.7,0.94087146,0.084910612
246.8,0.94087146,0.084910612
246.9,0.94087146,0.084910612
247,0.94087146,0.084910612
247.1,0.94087146,0.084910612
247.2,0.94087146,0.084910612
247.3,0.94087146,0.084910612
247.4,0.94087146,0.084910612
247.5,0.94087146,0.084910612
247.6,0.94087146,0.084910612
247.7,0.94087146,0.084910612
247.8,0.94087146,0.084910612
247.9,0.94087146,0.084910612
248,0.94087146,0.084910612
248.1,0.94087146,0.084910612
248.2,0.94087146,0.084910612
248.3,0.94087146,0.084910612
248.4,0.94087146,0.084910612
248.5,0.94087146,0.084910612
248.6,0.94087146,0.084910612
248.7,0.94087146,0.084910612
248.8,0.94087146,0.084910612
248.9,0.94087146,0.084910612
249,0.94087146,0.084910612
249.1,0.94087146,0.084910612
249.2,0.94087146,0.084910612
249.3,0.94087146,0.084910612
249.4,0.94087146,0.084910612
249.5,0.94087146,0.084910612
249.6,0.94087146,0.084910612
249.7,0.94087146,0.084910612
249.8,0.94087146,0.084910612
249.9,0.94087146,0.084910612
250,0.94087146,0.084910612
250.1,0.94087146,0.084910612
250.2,0.94087146,0.084910612
250.3,0.94087146,0.084910612
250.4,0.94087146,0.084910612
250.5,0.94087146,0.084910612
250.6,0.94087146,0.084910612
250.7,0.94087146,0.084910612
250.8,0.94087146,0.084910612
250.9,0.94087146,0.084910612
251,0.94087146,0.084910612
251.1,0.94087146,0.084910612
251.2,1.590873654,1.430727745
251.3,1.590873654,1.430727745
251.4,1.590873654,1.430727745
251.5,1.590873654,1.430727745
251.6,1.590873654,1.430727745
251.7,1.590873654,1.430727745
251.8,1.590873654,1.430727745
251.9,1.590873654,1.430727745
252,1.590873654,1.430727745
252.1,1.590873654,1.430727745
252.2,1.590873654,1.430727745
252.3,1.590873654,1.430727745
252.4,1.590873654,1.430727745
252.5,1.590873654,1.430727745
252.6,1.590873654,1.430727745
252.7,1.590873654,1.430727745
252.8,1.590873654,1.430727745
252.9,1.590873654,1.430727745
253,1.590873654,1.430727745
253.1,1.590873654,1.430727745
253.2,1.590873654,1.430727745
253.3,1.590873654,1.430727745
253.4,1.590873654,1.430727745
253.5,1.590873654,1.430727745
253.6,1.590873654,1.430727745
253.7,1.590873654,1.430727745
253.8,1.590873654,1.430727745
253.9,1.590873654,1.430727745
254,1.590873654,1.430727745
254.1,1.590873654,1.430727745
254.14,-0.427245263,-1.475899184
254.2,-0.427245263,-1.475899184
254.3,-0.427245263,-1.475899184
254.4,-0.427245263,-1.475899184
254.5,-0.427245263,-1.475899184
254.6,-0.427245263,-1.475899184
254.7,-0.427245263,-1.475899184
254.8,-0.427245263,-1.475899184
254.9,-0.427245263,-1.475899184
255,-0.427245263,-1.475899184
255.1,-0.427245263,-1.475899184
255.2,-0.427245263,-1.475899184
255.3,-0.427245263,-1.475899184
255.4,-0.427245263,-1.475899184
255.5,-0.427245263,-1.475899184
255.6,-0.427245263,-1.475899184
255.7,-0.427245263,-1.475899184
255.8,-0.427245263,-1.475899184
255.9,-0.427245263,-1.475899184
256,-0.427245263,-1.475899184
256.1,-0.427245263,-1.475899184
256.2,-0.427245263,-1.475899184
256.3,-0.427245263,-1.475899184
256.4,-0.427245263,-1.475899184
256.5,-0.427245263,-1.475899184
256.6,-0.427245263,-1.475899184
256.7,-0.427245263,-1.475899184
256.8,-0.427245263,-1.475899184
256.9,-0.427245263,-1.475899184
257,-0.427245263,-1.475899184
257.1,-0.427245263,-1.475899184
257.2,-0.427245263,-1.475899184
257.3,-0.427245263,-1.475899184
257.4,-0.427245263,-1.475899184
257.5,-0.427245263,-1.475899184
257.6,-0.427245263,-1.475899184
257.7,-0.427245263,-1.475899184
257.8,-0.427245263,-1.475899184
257.9,-0.427245263,-1.475899184
258,-0.427245263,-1.475899184
258.1,-0.427245263,-1.475899184
258.2,-0.427245263,-1.475899184
258.3,-0.427245263,-1.475899184
258.4,-0.427245263,-1.475899184
258.5,-0.427245263,-1.475899184
258.6,-0.427245263,-1.475899184
258.7,-0.427245263,-1.475899184
258.8,-0.427245263,-1.475899184
258.9,-0.427245263,-1.475899184
259,-0.427245263,-1.475899184
259.1,-0.427245263,-1.475899184
259.2,-0.427245263,-1.475899184
259.3,-0.427245263,-1.475899184
259.4,-0.427245263,-1.475899184
259.5,-0.427245263,-1.475899184
259.6,-0.427245263,-1.475899184
259.7,-0.427245263,-1.475899184
259.8,-0.427245263,-1.475899184
259.9,-0.427245263,-1.475899184
260,-0.427245263,-1.475899184
260.1,-0.427245263,-1.475899184
260.2,-0.427245263,-1.475899184
260.3,-0.427245263,-1.475899184
260.4,-0.427245263,-1.475899184
260.5,-0.427245263,-1.475899184
260.6,-0.427245263,-1.475899184
260.7,-0.427245263,-1.475899184
260.8,-0.427245263,-1.475899184
260.9,-0.427245263,-1.475899184
261,-0.427245263,-1.475899184
261.1,-0.427245263,-1.475899184
261.2,-0.427245263,-1.475899184
261.3,-0.427245263,-1.475899184
261.4,-0.427245263,-1.475899184
261.5,-0.427245263,-1.475899184
261.6,-0.427245263,-1.475899184
261.7,-0.427245263,-1.475899184
261.8,-0.427245263,-1.475899184
261.9,-0.427245263,-1.475899184
262,-0.427245263,-1.475899184
262.1,-0.427245263,-1.475899184
262.2,-0.427245263,-1.475899184
262.3,-0.427245263,-1.475899184
262.4,-0.427245263,-1.475899184
262.5,-0.427245263,-1.475899184
262.6,-0.427245263,-1.475899184
262.7,-0.427245263,-1.475899184
262.8,-0.427245263,-1.475899184
262.9,-0.427245263,-1.475899184
263,-0.427245263,-1.475899184
263.1,-0.427245263,-1.475899184
263.2,-0.427245263,-1.475899184
263.3,-0.427245263,-1.475899184
263.4,-0.427245263,-1.475899184
263.5,-0.427245263,-1.475899184
263.6,-0.427245263,-1.475899184
263.7,-0.427245263,-1.475899184
263.8,-0.427245263,-1.475899184
263.9,-0.427245263,-1.475899184
264,-0.427245263,-1.475899184
264.1,-0.427245263,-1.475899184
264.2,-0.427245263,-1.475899184
264.3,-0.427245263,-1.475899184
264.4,-0.427245263,-1.475899184
264.5,-0.427245263,-1.475899184
264.6,-0.427245263,-1.475899184
264.7,-0.427245263,-1.475899184
264.8,-0.427245263,-1.475899184
264.9,-0.427245263,-1.475899184
265,-0.427245263,-1.475899184
265.1,-1.435390012,1.184505421
265.2,-1.435390012,1.184505421
