genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Eoraptor,-52.00118,-52.00118,0,0,0,1,0,0.0,-0.3368251980293161
Eorasaurus,43.04599,43.04599,0,1,0,0,0,0.0,-0.3368251980293161
Eorhynchochelys,27.01127,27.01127,0,1,0,0,0,0.0,-0.3368251980293161
Eretmorhipis,20.78674,20.78674,0,0,1,0,0,0.0,-0.3368251980293161
Erpetosuchus,9.712786,9.712786,0,0,1,0,0,0.0,-0.3368251980293161
Erythrosuchus,-63.33496,-61.37537,0,0,0,1,0,1.9595900000000057,-0.18931063801424597
Erythrovenator,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.3368251980293161
Eshanosaurus,52.14119,52.14119,0,1,0,0,0,0.0,-0.3368251980293161
Eucoelophysis,3.836582,8.831093,0,0,1,0,0,4.994510999999999,0.03915298753777991
Eudibamus,15.55887,15.55887,0,0,1,0,0,0.0,-0.3368251980293161
Eudimorphodon,20.34746,39.29812,0,1,1,0,0,18.950659999999996,1.0897478462785135
Eumetabolodon,40.04971,42.97892,0,1,0,0,0,2.9292100000000048,-0.11631931448135809
Eunotosaurus,-65.18245,-61.12582,0,0,0,1,0,4.0566300000000055,-0.03144907874215245
Euparkeria,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.3368251980293161
Eurhinosaurus,39.82208,39.82208,0,1,0,0,0,0.0,-0.3368251980293161
Eurycleidus,36.29446,36.29446,0,1,0,0,0,0.0,-0.3368251980293161
Eusaurosphargis,20.93788,27.06795,0,1,1,0,0,6.13007,0.12463591317842546
Euscolosuchus,1.982645,1.982645,0,0,1,0,0,0.0,-0.3368251980293161
Fasolasuchus,-50.49719,-50.49719,0,0,0,1,0,0.0,-0.3368251980293161
Faxinalipterus,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.3368251980293161
Feeserpeton,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.3368251980293161
Feralisaurus,21.05439,21.05439,0,0,1,0,0,0.0,-0.3368251980293161
Fodonyx,21.05439,21.05439,0,0,1,0,0,0.0,-0.3368251980293161
