occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
820353,Rio Grande do Sul,Sao Gabriel,Rio Grande do Sul,BR,,Stereosternum,290.1,283.5
820353,Rio Grande do Sul,Sao Gabriel,Rio Grande do Sul,BR,,Stereosternum,290.1,283.5
837002,Rio Grande do Sul,Candelaria,Rio Grande do Sul,BR,,Candelaria,242,237
837006,Rio Grande do Sul,Novo Cabrais,Rio Grande do Sul,BR,,Candelaria,242,237
837006,Rio Grande do Sul,Novo Cabrais,Rio Grande do Sul,BR,,Candelaria,242,237
843491,Rio Grande do Sul,Mata,Rio Grande do Sul,BR,,Procolophon,251.902,247.2
843492,Rio Grande do Sul,Mata,Rio Grande do Sul,BR,,Procolophon,251.902,247.2
845945,Rio Grande do Sul,Santa Maria,Rio Grande do Sul,BR,,Procolophon,251.902,247.2
895255,Rio Grande do Sul,,Rio Grande do Sul,BR,,Procolophon,251.902,247.2
895260,Rio Grande do Sul,,Rio Grande do Sul,BR,,Procolophon,251.902,247.2
895264,Rio Grande do Sul,,Rio Grande do Sul,BR,,Procolophon,251.902,247.2
895292,Rio Grande do Sul,Novo Cabrais,Rio Grande do Sul,BR,,Barberenasuchus,242,237
895947,Rio Grande do Sul,,Rio Grande do Sul,BR,,Spondylosoma,242,237
896139,Rio Grande do Sul,,Rio Grande do Sul,BR,,Prestosuchus,242,237
896140,Rio Grande do Sul,,Rio Grande do Sul,BR,,Prestosuchus,242,237
896145,Rio Grande do Sul,,Rio Grande do Sul,BR,,Prestosuchus,242,237
896147,Rio Grande do Sul,,Rio Grande do Sul,BR,,Spondylosoma,242,237
897618,Rio Grande do Sul,,Rio Grande do Sul,BR,,Guaibasaurus,227,208.5
908524,Rio Grande do Sul,,Rio Grande do Sul,BR,,Teyumbaita,227,208.5
908524,Rio Grande do Sul,,Rio Grande do Sul,BR,,Teyumbaita,227,208.5
908525,Rio Grande do Sul,,Rio Grande do Sul,BR,,Hyperodapedon,227,208.5
908533,Rio Grande do Sul,,Rio Grande do Sul,BR,,Teyumbaita,227,208.5
908533,Rio Grande do Sul,,Rio Grande do Sul,BR,,Teyumbaita,227,208.5
908533,Rio Grande do Sul,,Rio Grande do Sul,BR,,Teyumbaita,227,208.5
922685,Rio Grande do Sul,Bom Retiro do Sul,Rio Grande do Sul,BR,,Brasinorhynchus,242,237
923080,Rio Grande do Sul,,Rio Grande do Sul,BR,,Clevosaurus,227,208.5
924724,Rio Grande do Sul,,Rio Grande do Sul,BR,,Prestosuchus,242,237
924725,Rio Grande do Sul,,Rio Grande do Sul,BR,,Prestosuchus,242,237
