,occurrence_no,locality,county_original,state,cc,notes
254,483884,Texas,Crosby,Texas,US,
255,484408,Mashonaland Central,,Mashonaland Central,ZW,
256,484409,Mashonaland Central,,Mashonaland Central,ZW,
257,484673,New Mexico,Quay,New Mexico,US,
258,484986,Arizona,Apache,Arizona,US,
259,484986,Arizona,Apache,Arizona,US,
260,484987,Arizona,Apache,Arizona,US,
261,486103,Jura,Franche-Comte,Jura,FR,
262,486104,Jura,Franche-Comte,Jura,FR,
263,486128,Lorraine,Meuthe-et-Moselle,Lorraine,FR,
264,486145,Jura,Franche-Comte,Jura,FR,
265,486146,Jura,Franche-Comte,Jura,FR,
266,486165,England,Somerset,England,UK,
267,486188,Rio Grande do Sul,,Rio Grande do Sul,BR,
268,486189,Rio Grande do Sul,,Rio Grande do Sul,BR,
269,486393,Bavaria,,Bavaria,DE,
270,486395,Bavaria,,Bavaria,DE,
271,486398,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
272,486402,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
273,486405,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
274,486407,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
275,486407,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
276,486408,Baden-Wurttemberg,,Baden-Wurttemberg,DE,
277,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
278,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
279,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
280,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
281,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
282,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
283,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
284,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
285,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
286,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
287,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
288,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
289,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
290,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
291,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
292,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
293,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
294,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
295,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
296,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
297,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
298,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
299,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
300,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
301,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,
302,486412,Thuringia,,Thuringia,DE,
303,486412,Thuringia,,Thuringia,DE,
304,486413,Thuringia,,Thuringia,DE,
305,486413,Thuringia,,Thuringia,DE,
306,490747,New Mexico,Quay,New Mexico,US,
307,490749,New Mexico,Quay,New Mexico,US,
308,490750,New Mexico,Quay,New Mexico,US,
309,490751,New Mexico,Quay,New Mexico,US,
310,490752,New Mexico,Quay,New Mexico,US,
311,490754,New Mexico,Quay,New Mexico,US,
312,490757,Arizona,Apache,Arizona,US,
313,490758,Arizona,Apache,Arizona,US,
314,490763,Arizona,Apache,Arizona,US,
315,490769,Arizona,Apache,Arizona,US,
316,490781,Yunnan,Lufeng,Yunnan,CN,
317,490782,Yunnan,Lufeng,Yunnan,CN,
318,490785,Yunnan,Lufeng,Yunnan,CN,
319,490786,Yunnan,Lufeng,Yunnan,CN,
320,490787,Yunnan,Lufeng,Yunnan,CN,
321,490788,Yunnan,Lufeng,Yunnan,CN,
322,490789,Yunnan,Lufeng,Yunnan,CN,
323,491743,Basse-Normandie,Manche,Basse-Normandie,FR,
324,492832,Yunnan,Yungyin,Yunnan,CN,
325,493537,Arizona,Navajo,Arizona,US,
326,493538,Arizona,Navajo,Arizona,US,
327,493539,Arizona,Navajo,Arizona,US,
328,493540,Arizona,Navajo,Arizona,US,
