accepted_name	min_ma	max_ma	geoplate	paleolng	paleolat	terrestrial
Bradysaurus	259.51	264.28	701.0	-28.32	-52.78	1
Embrithosaurus	259.51	264.28	701.0	-28.32	-52.78	1
Bradysaurus	259.51	264.28	701.0	-28.39	-52.59	1
Bradysaurus	259.51	264.28	701.0	-29.28	-52.34	1
Bradysaurus	259.51	264.28	701.0	-29.28	-52.34	1
Pareiasaurus	259.51	264.28	701.0	-29.28	-52.34	1
Bradysaurus	259.51	264.28	701.0	-27.52	-52.88	1
Bradysaurus	259.51	264.28	701.0	-27.77	-53.03	1
Bradysaurus	259.51	264.28	701.0	-28.34	-52.99	1
Embrithosaurus	259.51	264.28	701.0	-28.34	-52.99	1
Nochelesaurus	259.51	264.28	701.0	-28.99	-53.2	1
Bradysaurus	259.51	264.28	701.0	-29.52	-52.27	1
Rhipaeosaurus	259.51	264.28	302.0	50.25	37.38	1
Scutosaurus	259.51	264.28	302.0	46.44	38.16	1
Rautiania	256.8	264.28	302.0	58.81	34.68	1
Rautiania	256.8	264.28	302.0	58.81	34.68	1
Scutosaurus	256.8	264.28	302.0	46.9	39.66	1
Scutosaurus	256.8	264.28	302.0	46.9	39.66	1
Scutosaurus	256.8	264.28	302.0	46.9	39.66	1
Scutosaurus	256.8	264.28	302.0	46.9	39.66	1
Scutosaurus	256.8	264.28	302.0	46.9	39.66	1
Scutosaurus	256.8	264.28	302.0	46.9	39.66	1
Scutosaurus	256.8	264.28	302.0	46.9	39.66	1
Obirkovia	256.8	264.28	302.0	45.81	37.72	1
Scutosaurus	256.8	264.28	302.0	47.83	34.32	1
Scutosaurus	256.8	264.28	302.0	47.0	39.18	1
Nyctiphruretus	256.8	264.28	302.0	56.26	34.41	1
Suchonosaurus	256.8	264.28	302.0	47.0	39.39	1
Scutosaurus	256.8	264.28	302.0	58.46	33.65	1
Scutosaurus	254.14	264.28	302.0	52.2	34.99	1
Bradysaurus	254.14	264.28	701.0	-25.35	-51.39	1
Archosaurus	256.8	259.51	302.0	48.12	36.24	1
Obirkovia	256.8	259.51	302.0	48.12	36.24	1
Archosaurus	256.8	259.51	302.0	48.12	36.24	1
Archosaurus	256.8	259.51	302.0	50.14	38.98	1
Kinelia	256.8	259.51	302.0	55.84	34.8	1
Archosaurus	256.8	259.51	302.0	48.12	36.24	1
Pareiasuchus	254.14	259.51	701.0	-18.93	-49.95	1
Weigeltisaurus	254.14	259.51	315.0	21.08	27.2	1
Acrodenta	254.14	259.51	707.0	6.05	13.34	1
Saurorictus	254.14	259.51	701.0	-20.47	-50.54	1
Protorosaurus	254.14	259.51	315.0	28.46	24.55	1
Parasaurus	254.14	259.51	315.0	28.46	24.55	1
Captorhinus	254.14	259.51	701.0	13.31	-44.62	1
Weigeltisaurus	254.14	259.51	315.0	30.18	25.11	1
Weigeltisaurus	254.14	259.51	315.0	29.33	25.08	1
Weigeltisaurus	254.14	259.51	315.0	29.34	25.09	1
Weigeltisaurus	254.14	259.51	315.0	29.69	25.75	1
Protorosaurus	254.14	259.51	315.0	30.18	25.11	1
Weigeltisaurus	254.14	259.51	315.0	30.18	25.11	1
Weigeltisaurus	254.14	259.51	315.0	29.31	25.09	1
Parasaurus	254.14	259.51	315.0	29.66	25.74	1
Parasaurus	254.14	259.51	305.0	30.06	24.9	1
Parasaurus	254.14	259.51	315.0	29.84	25.73	1
Pareiasuchus	254.14	259.51	701.0	-19.52	-52.28	1
Parasaurus	254.14	259.51	315.0	29.34	25.09	1
Parasaurus	254.14	259.51	315.0	29.22	24.4	1
Protorosaurus	254.14	259.51	315.0	29.22	24.4	1
Coelurosauravus	254.14	259.51	315.0	30.18	25.11	1
Pareiasuchus	254.14	259.51	701.0	13.31	-44.62	1
Adelosaurus	254.14	259.51	315.0	20.99	27.0	1
Youngina	254.14	259.51	701.0	-20.47	-50.54	1
Arganaceras	254.14	259.51	707.0	6.04	13.34	1
Owenetta	254.14	259.51	701.0	-19.52	-52.28	1
Protorosaurus	254.14	259.51	305.0	29.47	24.33	1
Protorosaurus	254.14	259.51	305.0	29.53	24.29	1
Protorosaurus	254.14	259.51	315.0	30.31	25.27	1
Protorosaurus	254.14	259.51	315.0	29.28	24.4	1
Parasaurus	254.14	259.51	315.0	29.28	24.4	1
Galesphyrus	254.14	259.51	701.0	-21.79	-48.14	1
Galesphyrus	254.14	259.51	701.0	-16.75	-52.09	1
Protorosaurus	254.14	259.51	315.0	21.08	27.12	1
Protorosaurus	254.14	259.51	315.0	20.99	27.0	1
Aenigmastropheus	254.14	259.51	701.0	15.49	-45.51	1
Pumiliopareia	254.14	259.51	701.0	-19.57	-51.94	1
Anthodon	254.14	259.51	701.0	-19.1	-52.12	1
Anthodon	254.14	259.51	701.0	-20.5	-50.59	1
Anthodon	254.14	259.51	701.0	15.93	-45.33	1
Nanoparia	254.14	259.51	701.0	-19.38	-52.13	1
Zhongjiania	254.14	259.51	604.0	111.14	9.11	1
Zhongjiania	254.14	259.51	604.0	111.14	9.11	1
Zhongjiania	254.14	259.51	604.0	111.14	9.11	1
Pareiasaurus	254.14	259.51	701.0	-21.02	-50.36	1
Anthodon	254.14	259.51	701.0	-19.38	-52.25	1
Pareiasuchus	254.14	259.51	701.0	-20.5	-50.59	1
Pareiasaurus	254.14	259.51	701.0	-20.5	-50.59	1
Pareiasaurus	254.14	259.51	701.0	-19.38	-52.13	1
Pareiasaurus	254.14	259.51	701.0	-19.52	-52.28	1
Milleretta	254.14	259.51	701.0	-19.52	-52.28	1
Pareiasaurus	254.14	259.51	701.0	-19.59	-51.57	1
Pareiasaurus	254.14	259.51	701.0	13.34	-44.29	1
Pareiasaurus	254.14	259.51	701.0	-20.99	-50.04	1
Glaurung	254.14	259.51	315.0	30.18	25.11	1
Milleretta	254.14	259.51	701.0	-19.46	-51.64	1
Owenetta	254.14	259.51	701.0	-19.38	-52.13	1
Milleropsis	251.902	259.51	701.0	-18.63	-51.22	1
Milleretta	251.902	259.51	701.0	-18.63	-51.22	1
Milleretta	251.902	259.51	701.0	-18.42	-51.66	1
Milleropsis	251.902	259.51	701.0	-17.98	-51.75	1
Milleretta	251.902	259.51	701.0	-17.98	-51.75	1
