occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
1374700,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374700,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374700,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374702,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374702,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374702,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374704,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374704,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374706,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1374728,Arkhangelsk,Leshukonskii,Arkhangelsk,RU,,Alrausuchus,273.01,264.28
1374936,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Pravoslavlevia,264.28,256.8
1375733,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Inostrancevia,264.28,256.8
1375733,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Inostrancevia,264.28,256.8
1375733,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Inostrancevia,264.28,256.8
1375734,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Inostrancevia,264.28,256.8
1375735,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Inostrancevia,264.28,256.8
1375736,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Inostrancevia,264.28,256.8
1375737,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Inostrancevia,264.28,256.8
1381582,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Vivaxosaurus,264.28,256.8
1381593,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Alrausuchus,273.01,264.28
1381594,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Niaftasuchus,273.01,264.28
1381595,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Nikkasaurus,273.01,264.28
1381595,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Nikkasaurus,273.01,264.28
1381596,Arkhangelsk,Mezenskii,Arkhangelsk,RU,,Reiszia,273.01,264.28
1381597,Arkhangelsk,Leshukonskii,Arkhangelsk,RU,,Reiszia,273.01,264.28
1382084,Arkhangelsk,Kotlas,Arkhangelsk,RU,,Annatherapsidus,264.28,256.8
1385575,Arkhangelsk,Leshukonskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385575,Arkhangelsk,Leshukonskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385575,Arkhangelsk,Leshukonskii,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385579,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385579,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385579,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385579,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385579,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385579,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
1385579,Arkhangelsk,Leshukonskoe,Arkhangelsk,RU,,Mesenosaurus,273.01,264.28
752569,Aveyron,,Aveyron,FR,,Euromycter,290.1,273.01
1340065,Aveyron,,Aveyron,FR,,Ruthenosaurus,290.1,273.01
896166,Baden-Wurttemberg,Schwabisch Hall,Baden-Wurttemberg,DE,,Nanogomphodon,239.7,237
1000599,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Thomasia,208.5,201.4
1063537,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Thomasia,208.5,201.4
1063538,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Thomasia,208.5,201.4
1099935,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Thomasia,208.5,201.4
1099936,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Oligokyphus,208.5,201.4
1099937,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Oligokyphus,208.5,201.4
1408752,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Tricuspes,208.5,201.4
1408753,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Tricuspes,208.5,201.4
1433561,Baden-Wurttemberg,,Baden-Wurttemberg,DE,,Chalepotherium,208.5,201.4
1487605,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Mucrotherium,208.5,201.4
1487606,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Bolodon,208.5,201.4
1487610,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Thomasia,208.5,201.4
1487611,Baden-Wurttemberg,Tubingen,Baden-Wurttemberg,DE,,Uniserium,208.5,201.4
753600,Bashkortostan,Bizhbulyak,Bashkortostan,RU,,Phreatophasma,276.5,266.9
789774,Bashkortostan,,Bashkortostan,RU,,Elephantosaurus,242,237
792651,Bashkortostan,Sterlibashevo,Bashkortostan,RU,,Ulemosaurus,266.9,259.51
877641,Bashkortostan,,Bashkortostan,RU,,Rhadiodromus,247.2,242
877642,Bashkortostan,,Bashkortostan,RU,,Rabidosaurus,247.2,242
1374927,Bashkortostan,Sterlibashevo,Bashkortostan,RU,,Deuterosaurus,266.9,259.51
1375690,Bashkortostan,Sterlibashevo,Bashkortostan,RU,,Dinosaurus,266.9,264.28
1375691,Bashkortostan,Sterlibashevo,Bashkortostan,RU,,Rhopalodon,266.9,264.28
1375692,Bashkortostan,Sterlibashevo,Bashkortostan,RU,,Dinosaurus,266.9,264.28
1381113,Bashkortostan,Belebei,Bashkortostan,RU,,Phthinosaurus,266.9,264.28
970672,Batken,,Batken,KG,,Madysaurus,242,227
1320411,Batou,Shiguai,Batou,CN,,Daqingshanodon,259.51,251.902
1627053,Bavaria,Mittelfranken,Bavaria,DE,,Woznikella,237,227
639660,Belgium,,Gaume,BE,,Habayia,208.5,201.4
966757,Belgium,,Gaume,BE,,Pseudotriconodon,208.5,201.4
966758,Belgium,,Gaume,BE,,Gaumia,208.5,201.4
966759,Belgium,,Gaume,BE,,Gaumia,208.5,201.4
966760,Belgium,,Gaume,BE,,Lepagia,208.5,201.4
966766,Belgium,,Gaume,BE,,Microscalenodon,208.5,201.4
1063536,Belgium,,Gaume,BE,,Thomasia,208.5,201.4
1347032,Belgium,,Gaume,BE,,Thomasia,208.5,201.4
1382112,Belgium,,Gaume,BE,,Mojo,208.5,201.4
1382118,Belgium,,,BE,,Thomasia,227,201.4
753718,Burgundy,,Burgundy,FR,,Stereorhachis,307.4,300.3
754240,Burgundy,Saone-et-Loire,Burgundy,FR,,Haptodus,290.1,283.5
1339976,Burgundy,Saone-et-Loire,Burgundy,FR,,Callibrachion,290.1,283.5
1627335,Catalonia,Lleida,Catalonia,ES,,Ennatosaurus,266.9,259.51
534102,Colorado,Mesa,Colorado,US,,Pentasauropus,227,208.5
789978,Colorado,San Miguel,Colorado,US,,Cutleria,298.9,286.1
789980,Colorado,San Miguel,Colorado,US,,Ophiacodon,298.9,286.1
789983,Colorado,San Miguel,Colorado,US,,Vaughnictis,298.9,286.1
789990,Colorado,San Miguel,Colorado,US,,Vaughnictis,298.9,286.1
789992,Colorado,San Miguel,Colorado,US,,Cutleria,298.9,286.1
1339830,Colorado,Fremont,Colorado,US,,Ianthasaurus,305.9,303.7
791557,Czechia,Pilsen-North,Pilsen,CZ,,Archaeothyris,309.8,307.4
1338235,Czechia,,Rakovnik,CZ,,Macromerion,301.4,300.9
1339909,Czechia,,Rakovnik,CZ,,Bohemiclavulus,301.4,300.9
1339910,Czechia,,Rakovnik,CZ,,Macromerion,301.4,300.9
923120,East Greenland,,East Greenland,GL,,Haramiyavia,208.5,201.4
923120,East Greenland,,East Greenland,GL,,Haramiyavia,208.5,201.4
931102,East Greenland,,East Greenland,GL,,Mitredon,208.5,201.4
645111,Eastern Cape,,Eastern Cape,ZA,,Lumkuia,247.2,242
702798,Eastern Cape,Janesville,Eastern Cape,ZA,,Pachydectes,264.28,259.51
702799,Eastern Cape,,Eastern Cape,ZA,,Patranomodon,266.9,264.28
702800,Eastern Cape,Prince Albert,Eastern Cape,ZA,,Eodicynodon,273.01,259.51
794730,Eastern Cape,Camdeboo,Eastern Cape,ZA,,Burnetia,259.51,251.902
851017,Eastern Cape,Ikwezi,Eastern Cape,ZA,,Lanthanostegus,264.28,259.51
851017,Eastern Cape,Ikwezi,Eastern Cape,ZA,,Lanthanostegus,264.28,259.51
