accepted_name,terrestrial,paleolat_normalized
Thadeosaurus,1.0,-1.6
Thaisaurus,0.0,-0.8
Thalassiodracon,0.0,1.0
Thalattoarchon,0.0,0.6
Thalattosaurus,0.0,0.8
Thecodontosaurus,1.0,0.9
Theledectes,1.0,-1.8
Thelephon,1.0,-1.8
Thelerpeton,1.0,-1.8
Tholodus,0.0,0.5
Thuringothyris,1.0,0.1
Tichvinskia,1.0,1.2
Ticinosuchus,1.0,0.4
Tikisuchus,1.0,-1.5
Tikoepentapodiscus,1.0,-1.8
Timanophon,1.0,1.5
Toretocnemus,0.0,0.4
Trachelosaurus,1.0,0.8
Trialestes,1.0,-1.3
Trichristolopus,1.0,-1.8
Tricuspisaurus,1.0,1.0
Trihamus,1.0,0.5
Trilophosaurus,1.0,0.1
Tropidosuchus,1.0,-1.3
Tuebingosaurus,1.0,0.8
Turfanosuchus,1.0,-0.1
Typothorax,1.0,0.2
Uatchitodon,1.0,0.2
Unaysaurus,1.0,-1.4
Unguinychus,1.0,0.2
Uralosaurus,1.0,1.2
Utatsusaurus,0.0,0.6
Vallesaurus,1.0,0.6
Vancleavea,0.0,0.2
Variodens,1.0,1.0
Vellbergia,1.0,0.8
Velocipes,1.0,1.0
Venaticosuchus,1.0,-1.3
Venetoraptor,1.0,-1.4
Vinitasaura,1.0,0.3
Vivaron,1.0,0.2
Vjushkovisaurus,1.0,1.2
Volcanosuchus,1.0,-1.4
Vonhuenia,1.0,1.2
Vritramimosaurus,1.0,1.1
Vytshegdosuchus,1.0,1.4
Wahlisaurus,0.0,1.1
Waluchelys,1.0,-1.5
Wangosaurus,0.0,-0.4
Wannia,1.0,0.1
Wapitisaurus,1.0,1.1
Weigeltisaurus,1.0,0.7
Whitakersaurus,1.0,0.2
Wimanius,0.0,0.4
Wintonopus,1.0,1.3
Wumengosaurus,0.0,-0.5
Xenodiphyodon,1.0,0.3
Xilousuchus,1.0,0.4
Xingxiulong,1.0,1.1
Xinminosaurus,0.0,-0.5
Xinpusaurus,0.0,-0.2
Xiphopeza,1.0,0.5
Yarasuchus,1.0,-1.6
Yelaphomte,0.0,-1.5
Yimenosaurus,1.0,1.1
Youngetta,1.0,0.4
Youngina,1.0,-1.8
Youngosuchus,1.0,-0.1
Yunguisaurus,0.0,-0.4
Yunnanosaurus,1.0,1.1
Zanclodon,1.0,0.8
Zhongjiania,1.0,0.1
Zupaysaurus,1.0,-1.5
