,genus,county,state,occurrence_no,age_max,age_min
590,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14
591,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14
594,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14
595,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14
596,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14
597,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14
598,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14
599,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14
600,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14
601,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14
602,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14
613,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28
614,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28
615,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28
616,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28
617,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28
618,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28
619,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
620,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
621,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
622,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
623,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
624,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
625,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
626,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
627,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
628,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
629,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
630,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28
636,Biarmosuchus,Ocher,Perm,800149,266.9,264.28
637,Biarmosuchus,Ocher,Perm,800149,266.9,264.28
638,Biarmosuchus,Ocher,Perm,800149,266.9,264.28
642,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
643,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
644,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
645,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
646,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
647,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
648,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
649,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
650,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
651,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
652,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
653,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
654,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
655,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
656,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
657,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
658,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
659,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
660,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
661,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
662,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
663,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
664,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
665,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
666,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
667,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
668,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
669,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
670,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
671,Thrinaxodon,Maluti-A-Phofung,Free State,807686,251.902,247.2
673,Thrinaxodon,Kopanong,Free State,807747,251.902,247.2
674,Thrinaxodon,Kopanong,Free State,807747,251.902,247.2
675,Thrinaxodon,Kopanong,Free State,807747,251.902,247.2
676,Thrinaxodon,Kopanong,Free State,807747,251.902,247.2
677,Thrinaxodon,Kopanong,Free State,807747,251.902,247.2
678,Thrinaxodon,Kopanong,Free State,807747,251.902,247.2
682,Microvaranops,Karoo Hoogland,Northern Cape,814160,264.28,259.51
683,Microvaranops,Karoo Hoogland,Northern Cape,814160,264.28,259.51
