,id,occurrence_no,genus,Locality,county_original,state,cc
230,3192,753219,Cotylorhynchus,Knox,Knox,Texas,US
231,3190,753220,Angelosaurus,Knox,Knox,Texas,US
232,3191,753220,Angelosaurus,Knox,Knox,Texas,US
233,3185,753583,Ennatosaurus,Arkhangelsk,,Arkhangelsk,RU
234,3186,753583,Ennatosaurus,Arkhangelsk,,Arkhangelsk,RU
235,3187,753583,Ennatosaurus,Arkhangelsk,,Arkhangelsk,RU
236,3188,753583,Ennatosaurus,Arkhangelsk,,Arkhangelsk,RU
237,3189,753583,Ennatosaurus,Arkhangelsk,,Arkhangelsk,RU
238,3184,753600,Phreatophasma,Bizhbulyak,Bizhbulyak,Bashkortostan,RU
239,3183,753620,Ophiacodon,Baylor,Baylor,Texas,US
240,3182,753711,Clepsydrops,Vermilion,Vermilion,Illinois,US
241,3181,753718,Stereorhachis,Bourgogne,,Bourgogne,FR
242,3180,753746,Baldwinonus,Monroe,Monroe,Ohio,US
243,3179,753759,Stereophallodon,Clay,Clay,Texas,US
244,3178,753788,Ophiacodon,Cowley,Cowley,Kansas,US
245,3177,754185,Edaphosaurus,Rio Arriba,Rio Arriba,New Mexico,US
246,3176,754217,Datheosaurus,"Kodzko (Glatz, Kladsko)","Kodzko (Glatz, Kladsko)",Lower Silesia,PL
247,3175,754240,Haptodus,Saone-et-Loire,Saone-et-Loire,Bourgogne,FR
248,3174,754405,Hypselohaptodus,Warwickshire,Warwickshire,England,UK
249,3173,754406,Haptodus,Anderson,Anderson,Kansas,US
250,3172,754935,Sphenacodon,Rio Arriba,Rio Arriba,New Mexico,US
251,3171,755453,Ctenospondylus,Monroe,Monroe,Ohio,US
252,3170,755725,Cotylorhynchus,Knox,Knox,Texas,US
253,3169,758320,Milosaurus,Jasper,Jasper,Illinois,US
254,3168,778597,Ameghinichnus,Quay,Quay,New Mexico,US
255,3167,778929,Pseudotriconodon,Guadalupe,Guadalupe,New Mexico,US
256,3166,779001,Redondagnathus,Quay,Quay,New Mexico,US
257,3165,780852,Pentasauropus,,,,LS
258,3164,780926,Pentasauropus,Mohale's Hoek,,Mohale's Hoek,LS
