id	Species	min_age	max_age	Status
3318	Ophiacodon	273.01	283.5	extant
3317	Dimetrodon	273.01	283.5	extant
3316	Edaphosaurus	273.01	283.5	extant
3315	Casea	273.01	283.5	extant
3314	Ophiacodon	273.01	283.5	extant
3313	Dimetrodon	273.01	283.5	extant
3312	Edaphosaurus	273.01	283.5	extant
3311	Ophiacodon	273.01	283.5	extant
3310	Dimetrodon	273.01	283.5	extant
3309	Trichasaurus	273.01	283.5	extant
3308	Dimetrodon	273.01	283.5	extant
3307	Ophiacodon	273.01	283.5	extant
3306	Ophiacodon	273.01	283.5	extant
3305	Ophiacodon	273.01	283.5	extant
3304	Dimetrodon	273.01	283.5	extant
3303	Dimetrodon	273.01	283.5	extant
3302	Ophiacodon	273.01	283.5	extant
3301	Ophiacodon	273.01	283.5	extant
3300	Dimetrodon	283.5	293.52	extant
3299	Rhadiodromus	242.0	247.2	extant
3298	Inostrancevia_Temperate_N	254.14	264.28	extant
3297	Vivaxosaurus	254.14	264.28	extant
3296	Gorgonops	259.51	264.28	extant
3295	Plinthogomphodon	208.5	237.0	extant
3294	Edaphosaurus	290.1	298.9	extant
3293	Dimetrodon	290.1	298.9	extant
3291	Moghreberia	201.4	237.0	extant
3292	Moghreberia	201.4	237.0	extant
3286	Ischigualastia	227.0	237.0	extant
3287	Ischigualastia	227.0	237.0	extant
3288	Ischigualastia	227.0	237.0	extant
3289	Ischigualastia	227.0	237.0	extant
3290	Ischigualastia	227.0	237.0	extant
3285	Dimetrodon	273.01	283.5	extant
3284	Elcabrosaurus	298.9	303.7	extant
3275	Ophiacodon	298.9	303.7	extant
3276	Ophiacodon	298.9	303.7	extant
3277	Ophiacodon	298.9	303.7	extant
3278	Ophiacodon	298.9	303.7	extant
3279	Ophiacodon	298.9	303.7	extant
3280	Ophiacodon	298.9	303.7	extant
3281	Ophiacodon	298.9	303.7	extant
3282	Ophiacodon	298.9	303.7	extant
3283	Ophiacodon	298.9	303.7	extant
3274	Olivierosuchus	247.2	251.902	extant
3273	Thrinaxodon	247.2	251.902	extant
3272	Tetracynodon	247.2	251.902	extant
3271	Brachyzostrodon	201.4	208.5	extant
3270	Stahleckeria	237.0	242.0	extant
3269	Dinodontosaurus	237.0	242.0	extant
3268	Pristerognathus	259.51	264.28	extant
3267	Diictodon_Temperate_S	259.51	264.28	extant
3266	Dicynodon_Temperate_S	254.14	259.51	extant
3265	Platypodosaurus	254.14	259.51	extant
3264	Boreogomphodon	227.0	237.0	extant
3263	Microconodon	227.0	237.0	extant
3262	Placerias	208.5	227.0	extant
3261	Thomasia	201.4	208.5	extant
3260	Placerias	227.0	237.0	extant
3259	Chiniquodon	227.0	237.0	extant
3258	Rewaconodon_Tropical_S	208.5	227.0	extant
3257	Stahleckeria	237.0	242.0	extant
3256	Exaeretodon_Temperate_S	237.0	242.0	extant
3255	Dimetrodon	283.5	290.1	extant
3254	Theroteinus	201.4	208.5	extant
3253	Tricuspes	201.4	208.5	extant
3252	Thomasia	201.4	208.5	extant
3251	Thomasia	201.4	208.5	extant
3250	Thomasia	201.4	208.5	extant
3249	Thomasia	201.4	208.5	extant
3248	Thomasia	201.4	208.5	extant
3247	Morganucodon	201.4	208.5	extant
3246	Morganucodon	201.4	208.5	extant
3245	Helvetiodon	201.4	208.5	extant
3244	Hallautherium	201.4	208.5	extant
3243	Placerias	208.5	227.0	extant
3240	Exaeretodon_Temperate_S	227.0	237.0	extant
3241	Exaeretodon_Temperate_S	227.0	237.0	extant
3242	Exaeretodon_Temperate_S	227.0	237.0	extant
3239	Pentasauropus_Tropical_N	208.5	227.0	extant
3238	Riograndia	208.5	227.0	extant
3237	Pseudotriconodon_Temperate_N	213.2	216.7	extant
3236	Tricuspes	213.2	216.7	extant
3235	Gaumia	213.2	216.7	extant
3234	Gomphodontosuchus	208.5	237.0	extant
3233	Moghreberia	227.0	237.0	extant
3232	Moghreberia	227.0	237.0	extant
3231	Moghreberia	227.0	237.0	extant
3230	Chiniquodon	237.0	242.0	extant
3229	Probainognathus	237.0	242.0	extant
3228	Massetognathus	237.0	242.0	extant
3227	Massetognathus	237.0	242.0	extant
3226	Massetognathus	237.0	242.0	extant
3225	Massetognathus	237.0	242.0	extant
3224	Thomasia	201.4	208.5	extant
3223	Dimetrodon	273.01	283.5	extant
3222	Oromycter	283.5	290.1	extant
3221	Mycterosaurus	283.5	290.1	extant
3218	Varanops	283.5	290.1	extant
