,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
222,702799,Eastern Cape,,Eastern Cape,ZA,,Patranomodon,266.9,264.28
223,702800,Eastern Cape,Prince Albert,Eastern Cape,ZA,,Eodicynodon,273.01,259.51
224,741856,Rio Grande do Sul,,Rio Grande do Sul,BR,,Brasilitherium,227.0,208.5
225,748675,Texas,Knox,Texas,US,,Dimetrodon,283.5,273.01
226,752530,Texas,Archer,Texas,US,,Eothyris,290.1,283.5
227,752568,Texas,Foard,Texas,US,,Casea,286.1,273.01
228,752569,Aveyron,,Aveyron,FR,,Euromycter,290.1,273.01
229,752575,Oklahoma,Logan,Oklahoma,US,,Cotylorhynchus,283.5,273.01
230,753219,Texas,Knox,Texas,US,,Cotylorhynchus,283.5,266.9
231,753220,Texas,Knox,Texas,US,,Angelosaurus,283.5,266.9
232,753220,Texas,Knox,Texas,US,,Angelosaurus,283.5,266.9
233,753583,Arkhangelsk,,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
234,753583,Arkhangelsk,,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
235,753583,Arkhangelsk,,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
236,753583,Arkhangelsk,,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
237,753583,Arkhangelsk,,Arkhangelsk,RU,,Ennatosaurus,273.01,264.28
238,753600,Bashkortostan,Bizhbulyak,Bashkortostan,RU,,Phreatophasma,276.5,266.9
239,753620,Texas,Baylor,Texas,US,,Ophiacodon,286.1,273.01
240,753711,Illinois,Vermilion,Illinois,US,,Clepsydrops,305.9,303.7
241,753718,Burgundy,,Burgundy,FR,,Stereorhachis,307.4,300.3
242,753746,Ohio,Monroe,Ohio,US,,Baldwinonus,298.9,290.1
243,753759,Texas,Clay,Texas,US,,Stereophallodon,298.9,286.1
244,753788,Kansas,Cowley,Kansas,US,,Ophiacodon,293.52,283.5
245,754185,New Mexico,Rio Arriba,New Mexico,US,,Edaphosaurus,298.9,286.1
246,754217,Silesia,"Kodzko (Glatz, Kladsko)",Silesia,PL,,Datheosaurus,300.3,297.7
247,754240,Burgundy,Saone-et-Loire,Burgundy,FR,,Haptodus,290.1,283.5
248,754405,England,Warwickshire,England,UK,,Hypselohaptodus,298.9,293.52
249,754406,Kansas,Anderson,Kansas,US,,Haptodus,305.9,303.7
250,754935,New Mexico,Rio Arriba,New Mexico,US,,Sphenacodon,298.9,286.1
251,755453,Ohio,Monroe,Ohio,US,,Ctenospondylus,293.52,290.1
252,755725,Texas,Knox,Texas,US,,Cotylorhynchus,283.5,266.9
253,758320,Illinois,Jasper,Illinois,US,,Milosaurus,307.4,298.9
254,778597,New Mexico,Quay,New Mexico,US,,Ameghinichnus,227.0,208.5
255,778929,New Mexico,Guadalupe,New Mexico,US,,Pseudotriconodon,227.0,208.5
256,779001,New Mexico,Quay,New Mexico,US,,Redondagnathus,227.0,208.5
257,780852,Lesotho,,,LS,,Pentasauropus,237.0,208.5
258,780926,Lesotho,,Mohale's Hoek,LS,,Pentasauropus,227.0,201.4
259,782163,Arizona,Navajo,Arizona,US,,Placerias,227.0,208.5
260,786380,Hesse,Waldeck-Frankenberg,Hesse,DE,,Procynosuchus,259.51,254.14
261,786799,Oklahoma,Logan,Oklahoma,US,,Dimetrodon,283.5,273.01
262,787182,New Mexico,Rio Arriba,New Mexico,US,,Oedaleops,303.7,286.1
263,787182,New Mexico,Rio Arriba,New Mexico,US,,Oedaleops,303.7,286.1
264,787182,New Mexico,Rio Arriba,New Mexico,US,,Oedaleops,303.7,286.1
265,787182,New Mexico,Rio Arriba,New Mexico,US,,Oedaleops,303.7,286.1
266,787183,New Mexico,Rio Arriba,New Mexico,US,,Aerosaurus,303.7,286.1
267,787183,New Mexico,Rio Arriba,New Mexico,US,,Aerosaurus,303.7,286.1
268,787183,New Mexico,Rio Arriba,New Mexico,US,,Aerosaurus,303.7,286.1
269,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
270,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
271,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
272,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
273,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
274,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
275,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
276,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
277,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
278,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
279,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
280,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
281,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
282,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
283,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
284,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
285,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
286,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
287,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
288,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
289,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
290,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
291,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
292,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
293,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
294,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
295,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
296,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
297,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
298,787279,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
299,787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
300,787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
301,787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
302,787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
303,787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
304,787280,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Endothiodon,259.51,254.14
305,787281,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Oudenodon,259.51,254.14
306,787282,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Dicynodontoides,259.51,254.14
307,787283,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Sauroscaptor,259.51,254.14
308,787284,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Sauroscaptor,259.51,254.14
309,787284,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Sauroscaptor,259.51,254.14
310,787284,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Sauroscaptor,259.51,254.14
311,787284,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Sauroscaptor,259.51,254.14
312,787285,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Pristerodon,259.51,254.14
313,787285,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Pristerodon,259.51,254.14
314,787285,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Pristerodon,259.51,254.14
315,787285,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Pristerodon,259.51,254.14
316,787285,Andhra Pradesh,Adilabad,Andhra Pradesh,IN,,Pristerodon,259.51,254.14
317,787465,Oklahoma,Noble,Oklahoma,US,,Dimetrodon,290.1,283.5
318,787466,Oklahoma,Noble,Oklahoma,US,,Edaphosaurus,290.1,283.5
319,787529,Oklahoma,Noble,Oklahoma,US,,Ophiacodon,286.1,273.01
320,787530,Oklahoma,Noble,Oklahoma,US,,Dimetrodon,286.1,273.01
321,787564,Oklahoma,Kay,Oklahoma,US,,Dimetrodon,286.1,273.01
322,787565,Oklahoma,Kay,Oklahoma,US,,Edaphosaurus,286.1,273.01
323,787993,Texas,Baylor,Texas,US,,Mycterosaurus,290.1,273.01
324,787993,Texas,Baylor,Texas,US,,Mycterosaurus,290.1,273.01
325,788180,Texas,Knox,Texas,US,,Cotylorhynchus,283.5,266.9
326,788180,Texas,Knox,Texas,US,,Cotylorhynchus,283.5,266.9
327,788180,Texas,Knox,Texas,US,,Cotylorhynchus,283.5,266.9
328,788180,Texas,Knox,Texas,US,,Cotylorhynchus,283.5,266.9
329,788180,Texas,Knox,Texas,US,,Cotylorhynchus,283.5,266.9
