id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
2448,923790,923790,-46.55859,Stagonosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2449,923790,923790,-46.55859,Stagonosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2450,923791,923791,20.93788,Ticinosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2451,923792,923792,20.93788,Ticinosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2452,986756,986756,-61.37537,Erythrosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2453,986756,986756,-61.37537,Erythrosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2454,986756,986756,-61.37537,Erythrosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2455,1071678,1071678,-46.55859,Stenaulorhynchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2456,1087839,1087839,-39.82536,Mesodapedon,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2457,1089127,1089127,-46.55859,Nyasasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2458,1089130,1089130,-46.55859,Nyasasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2459,1089825,1089825,-46.55859,Stagonosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2460,1106822,1106822,26.46257,Thecodontosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2461,1106823,1106823,29.56131,Protanystropheus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2462,1134215,1134215,-61.37537,Howesia,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2463,1134215,1134215,-61.37537,Howesia,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2464,1134313,1134313,-46.55859,Asperoris,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2465,1163590,1163590,46.885,Jushatyria,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2466,1242875,1242875,-61.37537,Erythrosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2467,1266936,1266936,-61.37537,Palacrodon,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2468,1284944,1284944,-61.37537,Eohyosaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2469,1284945,1284945,-61.37537,Erythrosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2470,1308749,1308749,40.10246,Shansisuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2471,1332742,1332742,-63.33496,Erythrosuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2472,1340356,1340356,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2473,1340357,1340357,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2474,1340358,1340358,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2475,1340358,1340358,-46.55859,Asilisaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2476,1347585,1347585,22.98052,Protanystropheus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2477,1363319,1363319,-46.55859,Teleocrater,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2478,1375740,1375740,-46.55859,Teleocrater,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2479,1383183,1383183,48.82432,Dongusuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2480,1397832,1397832,-46.55859,Mandaphon,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2481,1397833,1397833,-46.55859,Teleocrater,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2482,1405272,1405272,-38.39131,Shringasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2483,1405272,1405272,-38.39131,Shringasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2484,1405272,1405272,-38.39131,Shringasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2485,1405272,1405272,-38.39131,Shringasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2486,1405272,1405272,-38.39131,Shringasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2487,1405272,1405272,-38.39131,Shringasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2488,1405272,1405272,-38.39131,Shringasaurus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2489,1406763,1406763,-46.55859,Mandasuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2490,1406763,1406763,-46.55859,Mandasuchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
2491,1406766,1406766,-46.55859,Stenaulorhynchus,246.7,242.0,Middle Triassic,"(246.7, 242.0)"
