stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Ladinian,-240.4611345,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.5851039,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.5851139,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.7090833,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.7090933,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.8330627,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.8330727,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.9570421,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Ladinian,-240.9570521,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.0810215,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.0810315,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.2050009,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.2050109,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.3289803,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.3289903,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.4529597,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Ladinian,-241.4529697,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.5769391,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.5769491,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.7009185,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.7009285,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.8248979,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.8249079,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.9488773,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-241.9488873,0.017794202,0.000254155,0.050038721,0.029743764,0.00013313,0.075231356,-0.011949562,-0.070456743,0.045910241
Anisian,-242.0728567,0.017794202,0.000254155,0.050038721,0.029743764,0.00013313,0.075231356,-0.011949562,-0.070456743,0.045910241
Anisian,-242.0728667,0.017794202,0.000254155,0.050038721,0.029743764,0.00013313,0.075231356,-0.011949562,-0.070456743,0.045910241
Anisian,-242.1968361,0.017794202,0.000254155,0.050038721,0.029743764,0.00013313,0.075231356,-0.011949562,-0.070456743,0.045910241
Anisian,-242.1968461,0.017794202,0.000254155,0.050038721,0.029743764,0.00013313,0.075231356,-0.011949562,-0.070456743,0.045910241
Anisian,-242.3208155,0.017794202,0.000254155,0.050038721,0.029743764,0.00013313,0.075231356,-0.011949562,-0.070456743,0.045910241
