id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
7307,295976,295976,-2.980824,Varanosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7308,295973,295973,-0.7299915,Edaphosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7309,295972,295972,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7310,295968,295968,-2.980824,Secodontosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7311,295963,295963,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7312,295956,295956,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7313,295955,295955,-2.980824,Edaphosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7314,295954,295954,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7315,295948,295948,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7316,295946,295946,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7317,295941,295941,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7318,295936,295936,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7319,295935,295935,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7320,295927,295927,-2.980824,Edaphosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7321,295923,295923,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7322,295922,295922,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7323,295921,295921,-0.7299915,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7324,295913,295913,-0.7299915,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7325,295912,295912,-0.7299915,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7326,295910,295910,-2.980824,Edaphosaurus,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7327,295909,295909,-2.980824,Dimetrodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
7328,295908,295908,-2.980824,Ophiacodon,290.1,283.5,Cisuralian,"(290.1, 283.5)"
