accepted_name;accepted_rank;early_interval;late_interval;max_ma;min_ma;time_bins;age;Rotated Longitude;Rotated latitude;group;niche_adequability
Abdalodon diastematicus;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Nshimbodon muchingaensis;species;Wuchiapingian;;259.9;254.17;Wuchiapingian;255;-52.58124;15.67166;Cynodontia;0.0266501642763615
Cynodontia;order;Wuchiapingian;Olenekian;259.9;247.2;Wuchiapingian;255;-55.65694;-39.2155;Cynodontia;0.115821614861488
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Nanictosaurus kitchingi;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Nanictosaurus kitchingi;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Cynosaurus suppostus;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Nanictosaurus kitchingi;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Cynosaurus suppostus;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Cynosaurus suppostus;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-60.85079;-19.33425;Cynodontia;0.0484099537134171
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
Procynosuchus delaharpeae;species;Wuchiapingian;Changhsingian;259.9;252.17;Wuchiapingian;255;-63.15948;-14.72496;Cynodontia;0.0487370491027832
