genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI,Stage
Chasmatosuchus,-0.009348873,1,0,0,0,251.7084154634635,246.76352641841842,4.944889045045073,1.3624825200000001,0.17534042111111112,-1.206016867,-0.35084773799999996,-0.616991661,-1.1650150165000002,0.7007604865,-0.291135873,-0.18796241350000006,-0.268046606,-1.206016867,-0.35084773799999996,-0.616991661,-1.1650150165000002,0.7007604865,-0.291135873,-0.18796241350000006,-0.268046606,Early Triassic
Cladeiodon,-0.298764409,1,0,0,0,244.09555232132132,243.88452127727726,0.2110310440440628,1.8031125744444445,1.8580568044444443,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,Anisian
Claudiosaurus,-0.298764409,0,0,1,0,260.0821885715716,252.429987007007,7.652201564564564,0.9782117188888888,2.918903208888889,-0.6983304685999999,-0.2771368292,0.8105040768,-1.2150951327999997,1.5440293746,-0.601384487,0.649725606,-0.9804490321999999,-0.6983304685999999,-0.2771368292,0.8105040768,-1.2150951327999997,1.5440293746,-0.601384487,0.649725606,-0.9804490321999999,Lopingian
Coartaredens,-0.298764409,0,1,0,0,245.87321003903907,243.10428653453454,2.768923504504528,3.246813678888889,1.0763500811111113,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,Anisian
Coelodontognathus,-0.298764409,1,0,0,0,249.60060983183183,247.93046193493495,1.6701478968968786,3.298048837777778,2.3573856655555554,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,Early Triassic
Coelurosauravus,5.4545027,1,0,1,0,260.60361461161165,251.90599606306307,8.697618548548576,0.32321702666666663,0.49945305777777776,-0.5765703157272727,-0.32992741654545454,0.7731929046363636,-1.0499408466363636,1.3749082749090908,-0.6518676313636363,0.5865114891818182,-1.0143388449090907,-0.5765703157272727,-0.32992741654545454,0.7731929046363636,-1.0499408466363636,1.3749082749090908,-0.6518676313636363,0.5865114891818182,-1.0143388449090907,Lopingian
Coletta,-0.298764409,0,0,1,0,249.19583167867867,249.0560838078078,0.13974787087087748,4.646589405555556,2.5684276777777777,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.8188024894777192,-0.11627954023516097,-1.2554489532349349,-0.3799049994846055,-0.3610656857080375,-0.19037734269569015,0.20756239242437,-0.31114969022119093,Early Triassic
Collilongus,-0.298764409,1,0,0,0,249.3978412882883,249.2593675085085,0.13847377977981523,4.008276893333333,2.9232006766666663,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-1.0609551618428419,-0.2629717067401559,-0.8561762286657303,-0.8708900965190389,0.30296969136834717,-0.2533888133257209,-0.03978738150227504,-0.28419426801262443,Early Triassic
Cosesaurus,-0.298764409,0,1,0,0,238.52949592792794,238.29467520820822,0.23482071971972118,3.050450757777778,2.3174977666666665,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Ctenosauriscus,-0.298764409,1,0,0,0,249.2663130780781,249.09445035335335,0.17186272472474684,3.3388920788888887,2.7456360777777777,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.8838364292920544,-0.15567604754826514,-1.148217932055095,-0.5117668325108672,-0.18272845603559368,-0.20730007226353608,0.14113268857877362,-0.3039103841732334,Early Triassic
