genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI,Stage
Jesairosaurus,-0.336825198,0,1,0,0,245.6957160950951,245.28917293893892,0.4065431561561752,2.057958755555555,0.7460781755555556,0.8147716463490362,-0.7965389385741263,0.9070750839542344,-0.7904855117380132,Anisian
Jushatyria,-0.336825198,1,0,0,0,244.10108408508506,243.801545993994,0.29953809109105123,1.0985653855555557,1.2979889955555557,1.9554463929321844,1.3144315938900808,1.9554463929321844,1.3144315938900808,Anisian
Kadimakara,-0.336825198,0,0,1,0,251.69268022622623,251.31987060560562,0.3728096206206146,3.4404543722222227,3.3962150266666664,0.709860338289371,3.4369011219489054,1.380473021239981,2.6269007047715633,Early Triassic
Kahneria,-0.336825198,0,1,0,0,270.9962384724725,269.8476854434434,1.148553029029074,0.3605382355555556,0.4061394422222222,-0.9060769744494858,-0.5259052419027206,-0.9060769744494858,-0.5259052419027206,Roadian-Wordian
Kalisuchus,-0.336825198,0,0,1,0,251.67614856256256,251.55782464164164,0.11832392092091482,3.4401348655555557,3.409671581111111,0.709860338289371,3.4369011219489054,1.2300970262129525,2.808532549504094,Early Triassic
Kapes,1.827679724,1,1,0,0,251.18256513313315,242.5564797697698,8.626085363363359,2.0349136733333335,0.08468858777777778,1.666836397516228,-0.21880398330576623,1.666836397516228,-0.21880398330576623,Mixed
Keichousaurus,-0.078613931,0,1,0,0,249.23339328028027,236.71993375975978,12.513459520520485,1.5041638522222225,0.8495598644444443,1.3166153869612955,-0.0032902337707776653,1.3166153869612955,-0.0032902337707776653,Mixed
Kinelia,0.060310625,1,0,0,0,270.1396635575576,255.48570855555556,14.653955002002022,0.39636989111111115,0.2791612477777778,-0.6374668057866564,0.2840622577799493,-0.6374668057866564,0.2840622577799493,Mixed
Kitchingnathus,-0.336825198,0,0,1,0,249.2275154974975,249.0392486696697,0.18826682782781745,2.988621444444444,2.4995017033333333,1.9092488182519396,-0.6703432065006151,1.9418506735548418,-0.7172742876646145,Early Triassic
Koilamasuchus,-0.336825198,0,0,1,0,239.3334181941942,238.90225339339338,0.4311648008008149,0.5605642822222222,0.9597056711111112,0.7446132569171925,0.523448309350873,0.7446132569171925,0.523448309350873,Ladinian
Koiloskiosaurus,-0.336825198,1,0,0,0,245.92213505105104,245.60365556156157,0.31847948948947646,1.4528510866666668,1.1032170522222222,1.0022109098915075,-0.7842463317383722,0.9577681807230954,-0.7871609665168608,Anisian
Kudnu,-0.336825198,0,0,1,0,251.81453882182183,251.44062567867866,0.37391314314317015,3.4349131699999997,3.405044826666667,0.709860338289371,3.4369011219489054,1.2157052453268213,2.8259156811060797,Early Triassic
Kwangsisaurus,-0.336825198,0,1,0,0,250.42784067467468,248.49613552352352,1.9317051511511636,2.945276674444445,1.5069245255555557,2.0314610915460096,-0.8462704371416974,2.0314610915460096,-0.8462704371416974,Early Triassic
Labidosaurikos,-0.062303085,0,1,0,0,283.0150820780781,273.37040729229227,9.64467478578581,0.23021167111111113,0.34269832333333333,-0.966200979897315,-0.042710257244065436,-0.966200979897315,-0.042710257244065436,Mixed
Lagerpeton,-0.336825198,0,0,1,0,241.7941038828829,237.71804626726725,4.076057615615639,0.7688960955555556,1.4985770155555556,1.2663814553154984,0.5523930873199718,1.2663814553154984,0.5523930873199718,Ladinian
Langeronyx,-0.249980413,1,1,0,0,246.811360006006,237.83536510410408,8.975994901901913,2.7715273333333332,0.5997418777777778,1.3049966145773815,0.27599397778133045,1.3049966145773815,0.27599397778133045,Mixed
Lanthaniscus,-0.336825198,1,0,0,0,272.7966349279279,267.19815866666664,5.598476261261283,1.7415049366666666,0.4906451322222223,-0.7666782120370131,0.15945984290518728,-0.7666782120370131,0.15945984290518728,Roadian-Wordian
Lanthanolania,-0.336825198,1,0,0,0,270.8304852812813,269.66204360660663,1.168441674674682,0.8647544500000001,0.39192371666666664,-0.9060769744494858,-0.5259052419027206,-0.9060769744494858,-0.5259052419027206,Roadian-Wordian
Lanthanosuchus,-0.336825198,1,0,0,0,266.02135803403405,265.0905094984985,0.9308485355355742,0.40627734666666665,0.6838657233333333,-1.7192196259628885,0.8816940463736233,-1.7192196259628885,0.8816940463736233,Roadian-Wordian
Largocephalosaurus,-0.336825198,0,1,0,0,246.0804668808809,244.234993029029,1.8454738518518923,2.495518222222222,0.9135416977777778,0.9084912781202719,-0.7903926351562492,0.9084912781202719,-0.7903926351562492,Anisian
Lariosaurus,0.803215385,1,1,0,0,248.84691565565566,236.5709073223223,12.276008333333351,1.0517466466666667,0.3193302055555556,1.2672292676870753,0.052297513956708765,1.2672292676870753,0.052297513956708765,Mixed
Lasasaurus,-0.336825198,0,0,1,0,249.38748810410408,249.21819327127128,0.16929483283280433,3.0215460277777777,2.5890299100000003,1.9092488182519396,-0.6703432065006151,1.9832705160284405,-0.776899053521283,Early Triassic
Lewisuchus,-0.184730708,0,0,1,0,242.9985653143143,227.135491018018,15.863074296296304,0.6627112877777778,0.23836122666666668,0.884933029139487,0.008259364075662471,0.884933029139487,0.008259364075662471,Mixed
Litorosuchus,-0.336825198,0,1,0,0,239.27782889589588,239.06348228628627,0.21434660960960628,1.697243318888889,2.2328049655555557,0.7446132569171925,0.523448309350873,0.8783212685199732,0.5088737396125627,Ladinian
Lotosaurus,-0.306690551,0,1,0,0,246.6747515855856,242.20828439139137,4.466467194194223,4.427609571111111,1.43169608,1.4598477676394097,-0.3077569307883378,1.4598477676394097,-0.3077569307883378,Anisian
Luopingosaurus,-0.336825198,0,1,0,0,245.4229673813814,245.0235237007007,0.39944368068069025,1.3652163244444444,0.7938637933333332,0.8147716463490362,-0.7965389385741263,0.8566166261509116,-0.7937946689102734,Anisian
Luperosuchus,-0.336825198,0,0,1,0,240.79333385485484,238.08176556856858,2.7115682862862514,0.56330098,1.3924650333333333,1.1363613700259585,0.4807466034028619,1.1363613700259585,0.4807466034028619,Ladinian
Macrocnemus,0.198042773,1,1,0,0,246.85714947547547,236.1756146116116,10.681534863863874,2.9043883044444443,0.4612741311111111,1.21756700461802,0.146954691781318,1.21756700461802,0.146954691781318,Mixed
Macroleter,2.674173341,1,1,0,0,272.9915786586586,264.69963314214215,8.291945516516478,0.28485320555555554,0.47181283555555553,-0.9502654095901375,0.10349214340397148,-0.9502654095901375,0.10349214340397148,Roadian-Wordian
Majiashanosaurus,-0.336825198,1,0,0,0,249.43415293493496,249.22062937337336,0.21352356156160113,2.9605055944444443,2.2048175044444442,1.9092488182519396,-0.6703432065006151,1.9892712526630372,-0.7855372446740718,Early Triassic
Malutinisuchus,0.059332007,1,0,0,0,242.6444434044044,236.53159826126128,6.112845143143119,0.6511531722222222,0.29745589333333333,1.0560464959370934,0.4500957734944218,1.0560464959370934,0.4500957734944218,Ladinian
Mambawakale,-0.336825198,0,0,1,0,244.70812683083082,244.14190193793792,0.5662248928929046,1.2531366477777774,0.33099346999999996,1.9554463929321844,1.3144315938900808,1.4706432177303355,0.4172387525812326,Anisian
Mandaphon,-0.336825198,0,0,1,0,244.58308443443445,243.97820794394394,0.6048764904905113,1.1117318855555556,0.44843962444444446,1.9554463929321844,1.3144315938900808,1.9554463929321844,1.3144315938900808,Anisian
Mandasuchus,-0.336825198,0,0,1,0,246.49857903803803,241.93510049449452,4.563478543543511,3.996893476666667,0.7895558188888889,1.335888741986888,0.05487469015041726,1.335888741986888,0.05487469015041726,Anisian
Marasuchus,-0.336825198,0,0,1,0,240.52179193393394,237.78407224224225,2.7377196916916944,0.5540658233333333,1.5086127477777778,0.9308283680772939,0.08260117164094653,0.9308283680772939,0.08260117164094653,Ladinian
Marcianosuchus,-0.336825198,0,1,0,0,245.77414731631632,245.37541786686688,0.39872944944943356,1.770097311111111,0.7515092133333333,1.0022109098915075,-0.7842463317383722,0.9225084720139987,-0.7894733621596549,Anisian
Megachirella,-0.336825198,1,0,0,0,244.7110544854855,244.3957156076076,0.31533887787790604,1.2984028066666669,1.1641448733333333,0.8147716463490362,-0.7965389385741263,1.3242140451997764,0.14625206752394593,Anisian
