Species	Status
Stenaulorhynchus	extinct
Stenomyti	extinct
Stenoscelida	extinct
Stereosternum	extinct
Styracocephalus	extinct
Suchonosaurus	extinct
Sumidadectes	extinct
Syntarsus	extinct
Syntomiprosopus	extinct
Tachiraptor	extinct
Tanaisosaurus	extinct
Tangasaurus	extinct
Tanystropheus	extinct
Tanytrachelos	extinct
Tarjadia	extinct
Tasmaniosaurus	extinct
Tawa	extinct
Taytalura	extinct
Technosaurus	extinct
Tecovasaurus	extinct
Tecovasuchus	extinct
Teleocrater	extinct
Temnodontosaurus	extinct
Teraterpeton	extinct
Teratophon	extinct
Teratosaurus	extinct
Termatosaurus	extinct
Terrestrisuchus	extinct
Teyujagua	extinct
Teyumbaita	extinct
Thadeosaurus	extinct
Thaisaurus	extinct
Thalassiodracon	extinct
Thalattoarchon	extinct
Thalattosaurus	extinct
Thecodontosaurus	extinct
Theledectes	extinct
Thelephon	extinct
Thelerpeton	extinct
Tholodus	extinct
Threordatoth	extinct
Thuringothyris	extinct
Tichvinskia	extinct
Ticinosuchus	extinct
Tikisuchus	extinct
Timanophon	extinct
Toretocnemus	extinct
Trachelosaurus	extinct
Tramuntanasaurus	extinct
Trialestes	extinct
Tricuspisaurus	extinct
Trilophosaurus	extinct
Tropidosuchus	extinct
Tuebingosaurus	extinct
Turfanosuchus	extinct
Typothorax	extinct
Uatchitodon	extinct
Unaysaurus	extinct
Unguinychus	extinct
Uralosaurus	extinct
Utatsusaurus	extinct
Vallesaurus	extinct
Vancleavea	extinct
Variodens	extinct
Vellbergia	extinct
Velocipes	extinct
Venaticosuchus	extinct
Venetoraptor	extinct
Vinitasaura	extinct
Vivaron	extinct
Vjushkovisaurus	extinct
Volcanosuchus	extinct
Vonhuenia	extinct
Vritramimosaurus	extinct
Vytshegdosuchus	extinct
Wahlisaurus	extinct
Waluchelys	extinct
Wangosaurus	extinct
Wannia	extinct
Wapitisaurus	extinct
Weigeltisaurus	extinct
Whitakersaurus	extinct
Wimanius	extinct
Wumengosaurus	extinct
Xenodiphyodon	extinct
Xilousuchus	extinct
Xingxiulong	extinct
Xinminosaurus	extinct
Xinpusaurus	extinct
Yarasuchus	extinct
Yelaphomte	extinct
Yimenosaurus	extinct
Youngetta	extinct
Youngina	extinct
Youngosuchus	extinct
Yunguisaurus	extinct
Yunnanosaurus	extinct
Zanclodon	extinct
Zhongjiania	extinct
Zupaysaurus	extinct
