genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lambda,avg_mu,mean_pt_1myr_z_trans,Mod_R_deltaTMyr_pt_1myr_z_trans
Galechirus,-0.297424559,0,0,1,0,263.7719023,261.1823872,2.589515053,1.542062112,0.769578599,-0.927102081,0.965021782
Galeops,-0.177974424,0,0,1,0,263.3626979,255.1391422,8.223555688,0.989335377,0.475246754,-0.353612374,0.43293622
Galepus,-0.297424559,0,0,1,0,262.4800226,261.7518458,0.728176865,0.787888056,0.738596803,-1.54494948,1.524856541
Galesaurus,-0.16710618,0,0,1,0,251.9998731,247.0561232,4.943749903,0.432115062,0.772687831,1.991733862,-0.236345803
Gaumia,0.018793887,1,0,0,0,216.8498123,201.2446958,15.6051165,0.396919371,0.974532668,0.309722899,-0.358146542
Geikia,4.447499172,1,0,1,0,262.4317383,251.9102687,10.52146954,0.991846933,0.613932259,-0.460383952,0.513294352
Glanosuchus,-0.140777318,0,0,1,0,266.6625204,259.8573073,6.805213106,1.216673908,0.109426418,-0.917950967,0.704704151
Glaucosaurus,-0.297424559,0,1,0,0,281.7985757,281.4716541,0.32692159,1.542673268,1.448033254,-0.573634826,1.147213535
Gondwanadon,-0.297424559,0,0,1,0,231.7837218,230.6425699,1.141151958,0.398656036,0.396404603,1.519493516,-1.103213768
Gordonia,-0.297424559,1,0,0,0,254.0566929,252.1973018,1.859391171,3.162557841,3.536264479,-1.107523712,-0.351256434
Gorgonops,0.668769528,0,0,1,0,264.1066323,253.7015823,10.40505004,1.406437071,0.352156246,-0.521222237,0.171806418
Gorochovetzia,-0.297424559,1,0,0,0,260.6277954,260.3456094,0.282186011,1.496819838,1.756116896,-0.665395355,0.54552635
Gorynychus,-0.101648499,1,0,0,0,264.8971979,259.9772047,4.919993156,0.300353648,0.747234746,-0.686175511,0.856072969
Habayia,-0.297424559,1,0,0,0,205.5453898,205.0089309,0.536458901,1.425568636,1.060286508,-0.226130286,-0.404854956
Hahnia,-0.297424559,1,0,0,0,204.3819141,203.8685684,0.513345745,0.996533436,1.412902521,0.035532909,-0.632167669
Hallautherium,-0.297424559,1,0,0,0,206.0004479,205.4553688,0.545079083,0.953121379,0.821467341,0.138178843,-0.522030276
Haptodus,0.081333261,0,1,0,0,299.2236061,285.1892642,14.03434185,0.118343164,0.106620552,-0.583556333,0.120596848
Haramiyavia,-0.297424559,1,0,0,0,206.4644711,202.7912872,3.673183831,1.490895048,1.542602049,0.017934606,-0.643605327
Hazhenia,-0.297424559,1,0,0,0,246.0559181,245.8834163,0.172501834,3.275663339,2.183247661,1.00221091,-0.784246332
Heleosaurus,-0.297424559,0,0,1,0,262.3451739,261.6922824,0.652891474,0.756054978,0.775872678,-1.54494948,1.524856541
Helvetiodon,-0.297424559,1,0,0,0,204.9720466,204.4826807,0.48936597,1.265094984,1.342308441,-0.226130286,-0.404854956
Herpetoskylax,-0.297424559,0,0,1,0,258.274127,255.9390711,2.335055903,1.302516059,1.109179899,-0.144202724,-0.585590769
Hipposaurus,-0.297424559,0,0,1,0,263.4510105,259.9293295,3.521681005,1.646717356,1.46963375,-0.597882256,1.242224268
Hofmeyria,-0.152345603,0,0,1,0,261.0535559,254.1208719,6.932683978,0.720921909,0.435432921,-0.2877267,0.198141869
