id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,locality
103,490754,490754,1.357201,Shuvosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Bull Canyon,,"UCM Loc. 82021, Revuelto Creek Local Fauna",,New Mexico
104,490757,490757,1.353064,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119",Arizona
105,490758,490758,1.353064,Hesperosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119",Arizona
106,490763,490763,1.353064,Machaeroprosopus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119",Arizona
107,490769,490769,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119",Arizona
108,504257,504257,30.98263,Eudimorphodon,227,208.5,Late Triassic,"(227.0, 208.5)",CH,Schaffhausen,Schaffhausen,Klettgau,,"Breitelen, Hallau layers d & e","Unter-Hallau, Hallau-Bratelen; Hallau Bratelen",Schaffhausen
109,513572,513572,-50.49719,Coloradisaurus,227,208.5,Late Triassic,"(227.0, 208.5)",AR,La Rioja,General Lavalle,Los Colorados,,E of Cerro Rajado,Coloradisaurus holotype,La Rioja
110,513603,513603,-50.49719,Riojasaurus,227,208.5,Late Triassic,"(227.0, 208.5)",AR,La Rioja,General Lavalle,Los Colorados,,"ruta 26, Los Colorados",La Esquina,La Rioja
111,517573,517573,1.357201,Coelophysis,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,Arroyo Seco 1,"Coelophysis type site, Cope",New Mexico
112,517577,517577,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119",Arizona
113,517578,517578,1.353064,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Dinosaur Hollow, PFV 20","UCMP V84260, PEFO 85101, Chinde Mesa, Chinde Point, Gertie",Arizona
114,517585,517585,1.353064,Smilosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Blue Hills 1, UCMP V7307, V7308",St. Johns I,Arizona
115,517592,517592,1.353064,Krzyzanowskisaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Blue Hills 1, UCMP V7307, V7308",St. Johns I,Arizona
116,517595,517595,1.353064,Calyptosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Jasper Forest S, UCMP V82041","PFV 167, PEFO 85070/85071, SMU 232, MNA 302/42 & 302/43",Arizona
117,517597,517597,1.353064,Leptosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Jasper Forest S, UCMP V82041","PFV 167, PEFO 85070/85071, SMU 232, MNA 302/42 & 302/43",Arizona
118,517601,517601,1.353064,Scutarx,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,Adamanian,"Battleship NW, UCMP V82261","PFV 169, PEFO 85075",Arizona
119,517603,517603,1.353064,Leptosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,Adamanian,"Battleship NW, UCMP V82261","PFV 169, PEFO 85075",Arizona
120,517609,517609,1.353064,Acaenasuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Navajo,Chinle,,Rincon Basin East,Winslow,Arizona
121,517610,517610,1.353064,Leptosuchus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Navajo,Chinle,,Rincon Basin East,Winslow,Arizona
122,517611,517611,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Navajo,Chinle,,Rincon Basin East,Winslow,Arizona
123,517612,517612,1.357201,Typothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Santa Fe,Santa Rosa,,3 km North of White Lake,,New Mexico
124,517613,517613,1.357201,Paratypothorax,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Santa Fe,Santa Rosa,,3 km North of White Lake,,New Mexico
125,517621,517621,1.357201,Coelophysis,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,Arroyo Seco 1,"Coelophysis type site, Cope",New Mexico
126,517622,517622,1.357201,Coelophysis,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,Arroyo Seco 1,"Coelophysis type site, Cope",New Mexico
127,521669,521669,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Arizona,Chinle,,Revueltosaurus Quarry (PFV 297),,Arizona
128,521669,521669,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Arizona,Chinle,,Revueltosaurus Quarry (PFV 297),,Arizona
129,521669,521669,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Arizona,Chinle,,Revueltosaurus Quarry (PFV 297),,Arizona
130,521669,521669,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Arizona,Chinle,,Revueltosaurus Quarry (PFV 297),,Arizona
131,521669,521669,1.353064,Revueltosaurus,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Arizona,Chinle,,Revueltosaurus Quarry (PFV 297),,Arizona
