,id,genus,county,state,occurrence_no,age_max,age_min,cc,Rotated Lat,Rotated Lon
498,2918,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
499,2919,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
500,2920,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
501,2921,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
502,2922,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
503,2923,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
504,2924,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
505,2925,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
506,2926,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
507,2927,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
508,2928,Diictodon,Beaufort West,Western Cape,794751,259.51,254.14,ZA,-60.8508,-19.3342
512,2909,Diictodon,Beaufort West,Western Cape,794757,259.51,254.14,ZA,-60.8508,-19.3342
513,2910,Diictodon,Beaufort West,Western Cape,794757,259.51,254.14,ZA,-60.8508,-19.3342
515,2904,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14,ZA,-60.8508,-19.3342
516,2905,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14,ZA,-60.8508,-19.3342
517,2906,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14,ZA,-60.8508,-19.3342
518,2907,Diictodon,Beaufort West,Western Cape,794773,259.51,254.14,ZA,-60.8508,-19.3342
523,2896,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14,ZA,-60.8508,-19.3342
524,2897,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14,ZA,-60.8508,-19.3342
525,2898,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14,ZA,-60.8508,-19.3342
526,2899,Diictodon,Beaufort West,Western Cape,794789,259.51,254.14,ZA,-60.8508,-19.3342
531,2877,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
532,2878,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
533,2879,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
534,2880,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
535,2881,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
536,2882,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
537,2883,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
538,2884,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
539,2885,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
540,2886,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
541,2887,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
542,2888,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
543,2889,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
544,2890,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
545,2891,Diictodon,Beaufort West,Western Cape,794881,259.51,254.14,ZA,-60.8508,-19.3342
547,2870,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14,ZA,-60.8508,-19.3342
548,2871,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14,ZA,-60.8508,-19.3342
549,2872,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14,ZA,-60.8508,-19.3342
550,2873,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14,ZA,-60.8508,-19.3342
551,2874,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14,ZA,-60.8508,-19.3342
552,2875,Diictodon,Beaufort West,Western Cape,794884,259.51,254.14,ZA,-60.8508,-19.3342
553,2848,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
554,2849,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
555,2850,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
556,2851,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
557,2852,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
558,2853,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
559,2854,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
560,2855,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
561,2856,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
562,2857,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
563,2858,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
564,2859,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
565,2860,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
566,2861,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
567,2862,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
568,2863,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
569,2864,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
570,2865,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
571,2866,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
572,2867,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
573,2868,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
574,2869,Diictodon,Beaufort West,Western Cape,794886,259.51,254.14,ZA,-60.8508,-19.3342
576,2842,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14,ZA,-60.8508,-19.3342
577,2843,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14,ZA,-60.8508,-19.3342
578,2844,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14,ZA,-60.8508,-19.3342
579,2845,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14,ZA,-60.8508,-19.3342
580,2846,Oudenodon,Beaufort West,Western Cape,794888,259.51,254.14,ZA,-60.8508,-19.3342
585,2831,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14,ZA,-60.8508,-19.3342
586,2832,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14,ZA,-60.8508,-19.3342
587,2833,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14,ZA,-60.8508,-19.3342
588,2834,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14,ZA,-60.8508,-19.3342
589,2835,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14,ZA,-60.8508,-19.3342
590,2836,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14,ZA,-60.8508,-19.3342
591,2837,Diictodon,Beaufort West,Western Cape,794894,259.51,254.14,ZA,-60.8508,-19.3342
594,2825,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14,ZA,-60.8508,-19.3342
595,2826,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14,ZA,-60.8508,-19.3342
596,2827,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14,ZA,-60.8508,-19.3342
597,2828,Diictodon,Beaufort West,Western Cape,794898,259.51,254.14,ZA,-60.8508,-19.3342
598,2820,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14,ZA,-60.8508,-19.3342
599,2821,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14,ZA,-60.8508,-19.3342
600,2822,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14,ZA,-60.8508,-19.3342
601,2823,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14,ZA,-60.8508,-19.3342
602,2824,Diictodon,Beaufort West,Western Cape,794899,259.51,254.14,ZA,-60.8508,-19.3342
613,2804,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28,RU,42.6876,20.3569
614,2805,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28,RU,42.6876,20.3569
615,2806,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28,RU,42.6876,20.3569
616,2807,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28,RU,42.6876,20.3569
617,2808,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28,RU,42.6876,20.3569
618,2809,Mesenosaurus,Mezen',Arkhangelsk,797626,273.01,264.28,RU,42.6876,20.3569
619,2792,Mesenosaurus,Leshukonskoe,Arkhangelsk,797634,273.01,264.28,RU,42.6876,20.3569
