Species	Status
Secodontosaurus	extinct
Sesamondontoides	extinct
Shaanbeikannemeyeria	extinct
Shansiodon_Temperate_N	extinct
Shansiodon_Temperate_S	extinct
Shashajaia	extinct
Shiguaignathus	extinct
Silphedosuchus	extinct
Silphoictidoides	extinct
Sinoconodon	extinct
Sinognathus	extinct
Sinokannemeyeria	extinct
Sinophoneus	extinct
Sintocephalus	extinct
Siriusgnathus	extinct
Sludica	extinct
Smilesaurus	extinct
Sphenacodon	extinct
Stahleckeria	extinct
Steppesaurus	extinct
Stereophallodon	extinct
Stereorhachis	extinct
Struthiocephaloides	extinct
Struthiocephalus	extinct
Styracocephalus	extinct
Suchogorgon	extinct
Suminia	extinct
Sungeodon	extinct
Sycosaurus	extinct
Syodon	extinct
Syops	extinct
Sysphinctostoma	extinct
Tambacarnifex	extinct
Tamboeria	extinct
Taoheodon	extinct
Tapinocaninus	extinct
Tapinocephalus	extinct
Tappenosaurus	extinct
Taurocephalus	extinct
Tenuacaptor	extinct
Tessellatia	extinct
Tetraceratops	extinct
Tetracynodon	extinct
Tetragonias	extinct
Theriognathus	extinct
Therioherpeton	extinct
Therioides	extinct
Theroteinus	extinct
Thliptosaurus	extinct
Thomasia	extinct
Thrinaxodon	extinct
Tiarajudens	extinct
Tigrisuchus	extinct
Tikitherium	extinct
Titanophoneus	extinct
Titanosuchus	extinct
Traversodon	extinct
Traversodontoides	extinct
Trichasaurus	extinct
Tricuspes	extinct
Trirachodon	extinct
Tritylodon	extinct
Trochorhinus	extinct
Trochosaurus	extinct
Trochosuchus	extinct
Tropidostoma	extinct
Trucidocynodon	extinct
Turfanodon_Temperate_N	extinct
Ufudocyclops	extinct
Ulemica	extinct
Ulemosaurus	extinct
Uniserium	extinct
Uralocynodon	extinct
Uralokannemeyeria	extinct
Urumchia	extinct
Ustia	extinct
Varanodon	extinct
Varanops	extinct
Varanosaurus	extinct
Vaughnictis	extinct
Venyukovia	extinct
Vetusodon	extinct
Viatkogorgon	extinct
Viatkosuchus	extinct
Vinceria	extinct
Vivaxosaurus	extinct
Wadiasaurus	extinct
Walteria	extinct
Wantulignathus	extinct
Watongia	extinct
Woutersia	extinct
Woznikella	extinct
Xiyukannemeyeria	extinct
Xyrospondylus	extinct
Yikezhaogia	extinct
Zambiasaurus	extinct
