id,occurrence_no,Taxon,MaxAge,MinAge,Locality,Area
8820,1320526,Oudenodon,259.51,254.14,Eastern Cape,1
8821,1320523,Rhachiocephalus,259.51,254.14,Eastern Cape,1
8835,1317416,Dicynodontoides,259.51,254.14,Eastern Cape,1
8836,1317415,Cistecephalus,259.51,254.14,Eastern Cape,1
8837,1317362,Arctognathus,259.51,254.14,Eastern Cape,1
8838,1317361,Aulacephalodon,259.51,254.14,Eastern Cape,1
8839,1317360,Dicynodon,259.51,254.14,Eastern Cape,1
8858,1317157,Dicynodontoides,259.51,254.14,Eastern Cape,1
8859,1317156,Ictidosuchus,259.51,254.14,Eastern Cape,1
8860,1317155,Prodicynodon,259.51,254.14,Eastern Cape,1
8861,1317154,Pristerodon,259.51,254.14,Eastern Cape,1
8862,1317153,Pristerodon,259.51,254.14,Eastern Cape,1
8863,1317142,Oudenodon,259.51,254.14,Eastern Cape,1
8864,1315265,Oudenodon,259.51,254.14,Eastern Cape,1
8865,1315263,Smilesaurus,259.51,254.14,Eastern Cape,1
8867,1315252,Oudenodon,259.51,254.14,Eastern Cape,1
8868,1315251,Aelurosaurus,259.51,254.14,Eastern Cape,1
8869,1314819,Dicynodon,259.51,254.14,Eastern Cape,1
8877,1314343,Oudenodon,259.51,254.14,Eastern Cape,1
8878,1314342,Aulacephalodon,259.51,254.14,Eastern Cape,1
8879,1314341,Diictodon,259.51,254.14,Eastern Cape,1
8880,1314340,Diictodon,259.51,254.14,Eastern Cape,1
8881,1314339,Cistecephalus,259.51,254.14,Eastern Cape,1
8882,1314166,Basilodon,259.51,254.14,Eastern Cape,1
8883,1314161,Dicynodon,259.51,254.14,Eastern Cape,1
8884,1314160,Pristerodon,259.51,254.14,Eastern Cape,1
8885,1314159,Cistecephalus,259.51,254.14,Eastern Cape,1
8886,1313967,Lemurosaurus,259.51,254.14,Eastern Cape,1
8887,1313966,Lemurosaurus,259.51,254.14,Eastern Cape,1
8900,1308703,Oudenodon,259.51,254.14,Eastern Cape,1
8927,1305475,Digalodon,259.51,254.14,Eastern Cape,1
8928,1305474,Rhachiocephalus,259.51,254.14,Eastern Cape,1
8929,1305473,Oudenodon,259.51,254.14,Eastern Cape,1
8930,1305472,Aulacephalodon,259.51,254.14,Eastern Cape,1
8931,1305472,Aulacephalodon,259.51,254.14,Eastern Cape,1
8932,1305471,Diictodon,259.51,254.14,Eastern Cape,1
8933,1305470,Cistecephalus,259.51,254.14,Eastern Cape,1
8934,1305470,Cistecephalus,259.51,254.14,Eastern Cape,1
8023,1584323,Aelurognathus,259.51,251.902,Aberdeen Plain,1
8025,1456930,Vetusodon,259.51,251.902,KwaZulu-Natal,1
8026,1439146,Thliptosaurus,259.51,251.902,KwaZulu-Natal,1
8935,1305470,Cistecephalus,259.51,254.14,Eastern Cape,1
8936,1305470,Cistecephalus,259.51,254.14,Eastern Cape,1
8937,1305470,Cistecephalus,259.51,254.14,Eastern Cape,1
8938,1305470,Cistecephalus,259.51,254.14,Eastern Cape,1
