genus	lat_range	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Viatkosuchus	0.0	0	1	0	0	0
Vinceria	0.0	0	0	0	1	0
Vivaxosaurus	4.649519999999995	0	1	0	0	0
Wadiasaurus	0.0	0	0	0	1	0
Walteria	0.0	0	0	0	1	0
Watongia	0.0	0	0	1	0	0
Woutersia	0.0	0	1	0	0	0
Woznikella	3.700120000000002	0	1	0	0	0
Xiyukannemeyeria	0.6731499999999997	0	1	0	0	0
Yikezhaogia	0.0	0	1	0	0	0
Zambiasaurus	0.0	0	0	0	1	0
