genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Haligonia	1.5738428772142246	0	1	1	0	0
Hanosaurus	-0.3368251980293161	0	0	1	0	0
Helveticosaurus	-0.3368251980293161	0	0	1	0	0
Hemilopas	-0.32844747851448025	0	1	0	0	0
Hemiprotosuchus	-0.3368251980293161	0	0	0	1	0
Henodus	-0.3368251980293161	0	1	0	0	0
Heptasuchus	-0.3368251980293161	0	0	1	0	0
Herrerasaurus	-0.3368251980293161	0	0	0	1	0
Hescheleria	-0.3368251980293161	0	0	1	0	0
Hesperosuchus	0.22610794498270761	0	0	1	0	0
Heterodontichnites	-0.3093241612626938	0	0	1	0	0
Heteropelta	-0.3368251980293161	0	1	0	0	0
Himalayasaurus	-0.3368251980293161	0	0	1	0	0
Hispaniasaurus	-0.3368251980293161	0	0	1	0	0
Honghesaurus	-0.3368251980293161	0	0	1	0	0
Horaffia	-0.19857513563928764	0	1	0	0	0
Hovasaurus	0.6234997893977701	0	0	0	1	0
Howesia	-0.3368251980293161	0	0	0	1	0
Hudsonelpidia	-0.3368251980293161	0	0	1	0	0
Hupehsuchus	0.07226556823030701	0	0	1	0	0
Hwiccewyrm	-0.3368251980293161	0	1	0	0	0
Hyperodapedon	4.37473454942928	0	0	1	1	0
Hypselorhachis	-0.3368251980293161	0	0	0	1	0
Hypsognathus	1.5738428772142246	0	1	1	0	0
Hypuronector	-0.3368251980293161	0	0	1	0	0
Icarosaurus	-0.3368251980293161	0	0	1	0	0
Ichthyosaurus	2.250115296103819	0	1	1	0	0
Ichthyotitan	-0.3368251980293161	0	1	0	0	0
Idiosaura	-0.3368251980293161	0	0	1	0	0
Ignotosaurus	-0.3368251980293161	0	0	0	1	0
Incertovenator	-0.3368251980293161	0	0	0	1	0
Indosauriscus	-0.3368251980293161	0	0	0	1	0
Ingentia	-0.3368251980293161	0	0	0	1	0
Isfjordosaurus	-0.3368251980293161	0	1	0	0	0
Issi	-0.3368251980293161	0	1	0	0	0
Ixalerpeton	-0.08383222099746447	0	0	0	1	0
Jaklapallisaurus	-0.3368251980293161	0	0	0	1	0
Jaxtasuchus	-0.3368251980293161	0	1	0	0	0
Jesairosaurus	-0.3368251980293161	0	0	1	0	0
Jingshanosaurus	-0.3368251980293161	0	1	0	0	0
Jupijkam	-0.3368251980293161	0	0	1	0	0
Jushatyria	-0.3368251980293161	0	1	0	0	0
Kadimakara	-0.3368251980293161	0	0	0	1	0
Kahneria	-0.3368251980293161	0	0	1	0	0
Kalisuchus	-0.3368251980293161	0	0	0	1	0
Kapes	1.8276797237380455	0	1	1	0	0
Keichousaurus	-0.07861393079377668	0	0	1	0	0
Kholumolumo	-0.3368251980293161	0	0	0	1	0
Kinelia	0.06031062496360667	0	1	0	0	0
Kitchingnathus	-0.3368251980293161	0	0	0	1	0
Kocurypelta	-0.3368251980293161	0	1	0	0	0
Koilamasuchus	-0.3368251980293161	0	0	0	1	0
Koiloskiosaurus	-0.3368251980293161	0	1	0	0	0
Kranosaura	-0.3368251980293161	0	0	0	1	0
Krzyzanowskisaurus	-0.3090127350282354	0	0	1	0	0
Kudnu	-0.3368251980293161	0	0	0	1	0
Kuehneosaurus	0.4921933953341722	0	1	0	0	0
Kuehneosuchus	-0.3368251980293161	0	1	0	0	0
