genus,lat_range,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Ixalerpeton,3.3607700000000023,0,0,0,1,0
Jaklapallisaurus,0.0,0,0,0,1,0
Jaxtasuchus,0.0,0,1,0,0,0
Jesairosaurus,0.0,0,0,1,0,0
Jingshanosaurus,0.0,0,1,0,0,0
Jupijkam,0.0,0,0,1,0,0
Jushatyria,0.0,0,1,0,0,0
Kadimakara,0.0,0,0,0,1,0
Kahneria,0.0,0,0,1,0,0
Kalisuchus,0.0,0,0,0,1,0
Kapes,28.753379999999996,0,1,1,0,0
Keichousaurus,3.4300900000000016,0,0,1,0,0
Kholumolumo,0.0,0,0,0,1,0
Kinelia,5.275570000000002,0,1,0,0,0
Kitchingnathus,0.0,0,0,0,1,0
Kocurypelta,0.0,0,1,0,0,0
Koilamasuchus,0.0,0,0,0,1,0
Koiloskiosaurus,0.0,0,1,0,0,0
Kranosaura,0.0,0,0,0,1,0
Krzyzanowskisaurus,0.36946199999999996,0,0,1,0,0
Kudnu,0.0,0,0,0,1,0
Kuehneosaurus,11.012719999999998,0,1,0,0,0
Kuehneosuchus,0.0,0,1,0,0,0
Kuruxuchampsa,0.0,0,0,0,1,0
Kwangsisaurus,0.0,0,0,1,0,0
Labidosaurikos,3.646764,0,0,1,0,0
Labidosauriscus,0.0,0,0,1,0,0
Labidosaurus,2.2447939999999997,0,0,1,0,0
Lagerpeton,0.0,0,0,0,1,0
Lanceirosphenodon,0.0,0,0,0,1,0
Langeronyx,1.153649999999999,0,1,1,0,0
Langobardisaurus,12.582489999999996,0,1,1,0,0
Lanthaniscus,0.0,0,1,0,0,0
Lanthanolania,0.0,0,1,0,0,0
Lanthanosuchus,0.0,0,1,0,0,0
Laquintasaura,0.0,0,0,1,0,0
Largocephalosaurus,0.0,0,0,1,0,0
Lariosaurus,15.144350000000001,0,1,1,0,0
Lasasaurus,0.0,0,0,0,1,0
Lepidus,0.0,0,0,1,0,0
Leptonectes,5.141100000000002,0,1,0,0,0
Leptopleuron,0.0,0,1,0,0,0
Leptosuchus,5.316909,0,0,1,0,0
Lessemsaurus,0.0,0,0,0,1,0
Lewisuchus,2.0204299999999975,0,0,0,1,0
Leyesaurus,0.0,0,0,0,1,0
Libognathus,0.0,0,0,1,0,0
Liliensternus,11.724089999999997,0,1,0,0,0
Lindwurmia,0.0,0,1,0,0,0
Litorosuchus,0.0,0,0,1,0,0
Lophostropheus,0.0,0,1,0,0,0
Lotosaurus,0.4003099999999975,0,0,1,0,0
Lucasuchus,0.0,0,0,1,0,0
Lucianosaurus,0.0,0,0,1,0,0
Lucianovenator,0.0,0,0,0,1,0
Lufengosaurus,0.0,0,1,0,0,0
Lukousaurus,0.0,0,1,0,0,0
Luopingosaurus,0.0,0,0,1,0,0
Luperosuchus,0.0,0,0,0,1,0
Macgowania,6.932289999999998,0,1,1,0,0
Machaeroprosopus,10.301191999999999,0,0,1,0,0
Macrocnemus,7.10521,0,1,1,0,0
Macrocollum,0.0,0,0,0,1,0
Macroleter,39.998239,0,1,1,0,0
Macroplacus,0.0,0,1,0,0,0
Macroplata,0.0,0,1,0,0,0
Maehary,0.0,0,0,0,1,0
Majiashanosaurus,0.0,0,1,0,0,0
Malerisaurus,0.0,0,0,1,0,0
Malutinisuchus,5.262569999999997,0,1,0,0,0
Mambawakale,0.0,0,0,0,1,0
Mandaphon,0.0,0,0,0,1,0
Mandasuchus,0.0,0,0,0,1,0
Marasuchus,0.0,0,0,0,1,0
Marcianosuchus,0.0,0,0,1,0,0
Massospondylus,0.0,0,0,0,1,0
Mbiresaurus,0.0,0,0,0,1,0
Megachirella,0.0,0,1,0,0,0
Megalancosaurus,12.582489999999996,0,1,1,0,0
Megalosaurus,0.0,0,1,0,0,0
Megapnosaurus,0.0,0,0,1,0,0
Melanorosaurus,0.0,0,0,0,1,0
Merriamosaurus,0.0,0,1,0,0,0
Mesodapedon,0.0,0,0,0,1,0
Mesosaurus,26.13414999999999,0,0,0,1,1
Mesosuchus,0.0,0,0,0,1,0
Metamosaurus,0.0,0,0,1,0,0
Metashastasaurus,0.0,0,1,0,0,0
Microcnemus,20.227229999999995,0,1,0,0,0
Microleter,0.0,0,0,1,0,0
Micromenodon,0.0,0,0,1,0,0
Microsphenodon,0.0,0,0,0,1,0
Mikadocephalus,25.647779999999997,0,1,1,0,0
Milleretta,2.676470000000002,0,0,0,1,0
Millerinoides,0.0,0,0,0,1,0
Milleropsis,2.3086899999999986,0,0,0,1,0
Millerosaurus,2.3086899999999986,0,0,0,1,0
Miodentosaurus,0.0,0,1,0,0,0
Mixosaurus,8.35805,0,0,1,0,0
Moradisaurus,2.8067589999999996,0,0,1,0,0
Mystriosuchus,22.359259999999995,0,1,1,0,0
Nambalia,0.0,0,0,0,1,0
Nanchangosaurus,5.434380000000003,0,0,1,0,0
Nanoparia,2.3086899999999986,0,0,0,1,0
Neoaetosauroides,0.0,0,0,0,1,0
Neoprocolophon,0.0,0,1,0,0,0
Neusticosaurus,8.623429999999999,0,1,1,0,0
Nhandumirim,0.0,0,0,0,1,0
Nicrosaurus,34.632909,0,1,1,0,0
Nochelesaurus,0.0,0,0,0,1,0
Notatesseraeraptor,0.0,0,1,0,0,0
Noteosuchus,0.0,0,0,0,1,0
Nothosaurus,50.172790000000006,0,1,1,0,0
Nundasuchus,0.0,0,0,0,1,0
Nyasasaurus,0.0,0,0,0,1,0
Nycteroleter,0.0,0,1,0,0,0
Nyctiboetus,0.0,0,1,0,0,0
Nyctiphruretus,0.828479999999999,0,1,0,0,0
Obirkovia,0.6175799999999967,0,1,0,0,0
Odoiporosaurus,0.0,0,0,1,0,0
Odontochelys,0.0,0,1,0,0,0
Omphalosaurus,30.45723,0,1,1,0,0
Opisthodontosaurus,0.0,0,0,1,0,0
Orenburgia,16.209310000000002,0,1,0,0,0
Orovenator,0.0,0,0,1,0,0
Oryctorhynchus,0.0,0,0,1,0,0
Oryporan,0.0,0,0,0,1,0
Osmolskina,0.0,0,1,0,0,0
Owenetta,2.3510400000000047,0,0,0,1,0
Ozimek,0.0,0,1,0,0,0
Pachagnathus,0.0,0,0,0,1,0
Pachypleurosaurus,4.9497800000000005,0,1,1,0,0
Pachystropheus,6.895629999999997,0,1,0,0,0
Palacrodon,78.937464,0,0,1,1,1
Palaeagama,0.0,0,0,0,1,0
Palaeochersis,0.0,0,0,0,1,0
Palaeosaurus,0.0,0,1,0,0,0
Paleollanosaurus,39.095419,0,1,1,0,0
Paliguana,0.0,0,0,0,1,0
Pamelaria,0.0,0,0,0,1,0
Pamelina,0.0,0,1,0,0,0
Pampadromaeus,3.3607700000000023,0,0,0,1,0
Panguraptor,0.0,0,1,0,0,0
Panphagia,0.0,0,0,0,1,0
Pantydraco,0.0,0,1,0,0,0
Panzhousaurus,0.0,0,0,1,0,0
Pappochelys,0.0,0,1,0,0,0
Parahupehsuchus,0.0,0,0,1,0,0
Paralonectes,1.1984100000000026,0,1,0,0,0
Paraplacodus,3.547509999999999,0,1,1,0,0
Pararcus,0.0,0,1,0,0,0
Parasaurus,2.021469999999997,0,1,0,0,0
Parasuchus,64.1293,0,1,1,1,0
Paratypothorax,35.947568999999994,0,1,1,0,0
Pareiasaurus,15.375370000000004,0,0,0,1,0
Pareiasuchus,15.375370000000004,0,0,0,1,0
Parringtonia,0.0,0,0,0,1,0
Partanosaurus,0.0,0,1,0,0,0
Parvosuchus,0.0,0,0,0,1,0
Pectodens,0.0,0,0,1,0,0
Pelecymala,0.0,0,1,0,0,0
Pendraig,0.0,0,1,0,0,0
Pentaedrusaurus,0.0,0,1,0,0,0
Permotriturus,0.0,0,1,0,0,0
Pessopteryx,0.506610000000002,0,1,0,0,0
Peteinosaurus,0.0,0,0,1,0,0
Phaanthosaurus,4.14875,0,1,0,0,0
Phalarodon,35.22367,0,1,1,0,0
Phantomosaurus,0.0,0,1,0,0,0
Phonodus,0.0,0,0,0,1,0
Pinheirochampsa,0.0,0,0,0,1,0
Pintosaurus,0.0,0,0,0,1,0
Pisanosaurus,0.0,0,0,0,1,0
Pistosaurus,18.447270000000003,0,1,1,0,0
Placochelys,25.98769,0,1,1,0,0
