genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Lophostropheus	-0.336825198	1	0	0	0
Lotosaurus	-0.306690551	0	1	0	0
Lucasuchus	-0.336825198	0	1	0	0
Lucianosaurus	-0.336825198	0	1	0	0
Lucianovenator	-0.336825198	0	0	1	0
Lufengosaurus	-0.336825198	1	0	0	0
Lukousaurus	-0.336825198	1	0	0	0
Luopingosaurus	-0.336825198	0	1	0	0
Luperosuchus	-0.336825198	0	0	1	0
Macgowania	0.185025653	1	1	0	0
Machaeroprosopus	0.438630793	0	1	0	0
Macrocnemus	0.198042773	1	1	0	0
Macrocollum	-0.336825198	0	0	1	0
Macroleter	2.674173341	1	1	0	0
Macroplacus	-0.336825198	1	0	0	0
Macroplata	-0.336825198	1	0	0	0
Maehary	-0.336825198	0	0	1	0
Majiashanosaurus	-0.336825198	1	0	0	0
Malerisaurus	-0.336825198	0	1	0	0
Malutinisuchus	0.059332007	1	0	0	0
Mambawakale	-0.336825198	0	0	1	0
Mandaphon	-0.336825198	0	0	1	0
Mandasuchus	-0.336825198	0	0	1	0
Marasuchus	-0.336825198	0	0	1	0
Marcianosuchus	-0.336825198	0	1	0	0
Massospondylus	-0.336825198	0	0	1	0
Mbiresaurus	-0.336825198	0	0	1	0
Megachirella	-0.336825198	1	0	0	0
Megalancosaurus	0.610362977	1	1	0	0
Megalosaurus	-0.336825198	1	0	0	0
Megapnosaurus	-0.336825198	0	1	0	0
Melanorosaurus	-0.336825198	0	0	1	0
Merriamosaurus	-0.336825198	1	0	0	0
Mesodapedon	-0.336825198	0	0	1	0
Mesosaurus	1.630508601	0	0	1	1
Mesosuchus	-0.336825198	0	0	1	0
Metamosaurus	-0.336825198	0	1	0	0
Metashastasaurus	-0.336825198	1	0	0	0
Microcnemus	1.185845837	1	0	0	0
Microleter	-0.336825198	0	1	0	0
Micromenodon	-0.336825198	0	1	0	0
Microsphenodon	-0.336825198	0	0	1	0
Mikadocephalus	1.593895505	1	1	0	0
Milleretta	-0.135345146	0	0	1	0
Millerinoides	-0.336825198	0	0	1	0
Milleropsis	-0.163030991	0	0	1	0
Millerosaurus	-0.163030991	0	0	1	0
Miodentosaurus	-0.336825198	1	0	0	0
Mixosaurus	0.29235441	0	1	0	0
Moradisaurus	-0.125537215	0	1	0	0
Mystriosuchus	1.346341383	1	1	0	0
Nambalia	-0.336825198	0	0	1	0
Nanchangosaurus	0.072265568	0	1	0	0
Nanoparia	-0.163030991	0	0	1	0
Neoaetosauroides	-0.336825198	0	0	1	0
Neoprocolophon	-0.336825198	1	0	0	0
Neusticosaurus	0.312331759	1	1	0	0
Nhandumirim	-0.336825198	0	0	1	0
Nicrosaurus	2.27028054	1	1	0	0
Nochelesaurus	-0.336825198	0	0	1	0
Notatesseraeraptor	-0.336825198	1	0	0	0
Noteosuchus	-0.336825198	0	0	1	0
Nothosaurus	3.440096016	1	1	0	0
Nundasuchus	-0.336825198	0	0	1	0
Nyasasaurus	-0.336825198	0	0	1	0
Nycteroleter	-0.336825198	1	0	0	0
Nyctiboetus	-0.336825198	1	0	0	0
Nyctiphruretus	-0.274458651	1	0	0	0
Obirkovia	-0.290334839	1	0	0	0
Odoiporosaurus	-0.336825198	0	1	0	0
Odontochelys	-0.336825198	1	0	0	0
Omphalosaurus	1.955942617	1	1	0	0
Opisthodontosaurus	-0.336825198	0	1	0	0
Orenburgia	0.88338374	1	0	0	0
Orovenator	-0.336825198	0	1	0	0
Oryctorhynchus	-0.336825198	0	1	0	0
Oryporan	-0.336825198	0	0	1	0
Osmolskina	-0.336825198	1	0	0	0
Owenetta	-0.159842956	0	0	1	0
Ozimek	-0.336825198	1	0	0	0
Pachagnathus	-0.336825198	0	0	1	0
Pachypleurosaurus	0.035785715	1	1	0	0
Pachystropheus	0.182265951	1	0	0	0
Palacrodon	5.605451131	0	1	1	1
Palaeagama	-0.336825198	0	0	1	0
Palaeochersis	-0.336825198	0	0	1	0
Palaeosaurus	-0.336825198	1	0	0	0
Paleollanosaurus	2.606210607	1	1	0	0
Paliguana	-0.336825198	0	0	1	0
Pamelaria	-0.336825198	0	0	1	0
Pamelina	-0.336825198	1	0	0	0
Pampadromaeus	-0.083832221	0	0	1	0
Panguraptor	-0.336825198	1	0	0	0
Panphagia	-0.336825198	0	0	1	0
Pantydraco	-0.336825198	1	0	0	0
Panzhousaurus	-0.336825198	0	1	0	0
Pappochelys	-0.336825198	1	0	0	0
Parahupehsuchus	-0.336825198	0	1	0	0
Paralonectes	-0.246610957	1	0	0	0
Paraplacodus	-0.069774755	1	1	0	0
Pararcus	-0.336825198	1	0	0	0
Parasaurus	-0.184652418	1	0	0	0
Parasuchus	4.49071805	1	1	1	0
Paratypothorax	2.36924588	1	1	0	0
Pareiasaurus	0.820606173	0	0	1	0
Pareiasuchus	0.820606173	0	0	1	0
Parringtonia	-0.336825198	0	0	1	0
Partanosaurus	-0.336825198	1	0	0	0
Parvosuchus	-0.336825198	0	0	1	0
Pectodens	-0.336825198	0	1	0	0
Pelecymala	-0.336825198	1	0	0	0
Pendraig	-0.336825198	1	0	0	0
Pentaedrusaurus	-0.336825198	1	0	0	0
Permotriturus	-0.336825198	1	0	0	0
Pessopteryx	-0.29868847	1	0	0	0
Peteinosaurus	-0.336825198	0	1	0	0
Phaanthosaurus	-0.024514444	1	0	0	0
Phalarodon	2.314752011	1	1	0	0
Phantomosaurus	-0.336825198	1	0	0	0
Phonodus	-0.336825198	0	0	1	0
Pinheirochampsa	-0.336825198	0	0	1	0
