genus,lat_range_z_trans,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Niaftasuchus,-0.297424559041348,0,1,0,0,0
Niassodon,-0.297424559041348,0,0,0,1,0
Nikkasaurus,-0.297424559041348,0,1,0,0,0
Niuksenitia,-0.297424559041348,0,1,0,0,0
Nochnitsa,-0.297424559041348,0,1,0,0,0
Notaelurodon,-0.297424559041348,0,0,0,1,0
Nothogomphodon,0.2057276773105171,0,1,0,0,0
Notictoides,-0.297424559041348,0,0,0,0,1
Notosyodon,-0.297424559041348,0,1,0,0,0
Nshimbodon,-0.297424559041348,0,0,0,1,0
Nythosaurus,-0.297424559041348,0,0,0,1,0
Odontocyclops,0.6687695277866947,0,0,0,1,0
Oligokyphus,-0.297424559041348,0,1,0,0,0
Olivierosuchus,-0.1817574143859648,0,0,0,1,0
Ophiacodon,0.693937351165968,0,0,1,0,0
Ophidostoma,-0.297424559041348,0,0,0,1,0
Ordosiodon,-0.297424559041348,0,1,0,0,0
Oromycter,-0.297424559041348,0,0,1,0,0
Otsheria,-0.297424559041348,0,1,0,0,0
Oudenodon,1.0376607795722317,0,0,0,1,0
Pachydectes,-0.297424559041348,0,0,0,1,0
Palemydops,-0.1523456031320572,0,0,0,1,0
Pampaphoneus,-0.297424559041348,0,0,0,1,0
Panchetocynodon,-0.297424559041348,0,0,0,1,0
Parabradysaurus,-0.2662632716202135,0,1,0,0,0
Paraburnetia,-0.297424559041348,0,0,0,1,0
Paragalerhinus,-0.297424559041348,0,0,0,1,0
Parakannemeyeria,1.08555017603488,0,1,0,0,0
Parasuminia,-0.297424559041348,0,1,0,0,0
Paratraversodon,-0.297424559041348,0,0,0,1,0
Pardosuchus,-0.297424559041348,0,0,0,1,0
Pascualgnathus,-0.297424559041348,0,0,0,1,0
Patranomodon,-0.297424559041348,0,0,0,1,0
Pelanomodon,-0.1523456031320572,0,0,0,1,0
Pelictosuchus,-0.297424559041348,0,0,0,1,0
Peramodon,-0.2648242269280622,0,1,0,0,0
Perplexisaurus,-0.0651966795330975,0,1,0,0,0
Phocosaurus,-0.297424559041348,0,0,0,1,0
Phreatophasma,-0.297424559041348,0,1,0,0,0
Phthinosaurus,-0.2650504522945138,0,1,0,0,0
Placerias,-0.1628302753858189,0,0,1,0,0
Planitorostris,-0.297424559041348,0,1,0,0,0
Platycraniellus,-0.297424559041348,0,0,0,1,0
