genus	rotated_lat_scaled
Shonisaurus_Temperate_N	0.5780000000000001
Shringasaurus	-1.06
Shuangbaisaurus	1.55
Shuvosaurus	0.10952380952380951
Sigmala	0.77
Sikannisuchus	0.8
Silesaurus	1.01
Sillosuchus	-1.45
Simosaurus_Temperate_N	0.75
Sinocyamodus	0.82
Sinosaurosphargis	0.41
Sinosaurus	1.55
Skybalonyx	0.09
Smilodonterpeton	1.08
Smilosuchus	0.09869565217391305
Sophineta	0.89
Soturnia	-1.28
Soumyasaurus	0.01
Sphenotitan	-1.47
Sphodrosaurus	0.24
Spinosuchus	0.045
Spondylolestes	-1.77
Spondylosoma	-1.36
Stagonolepis_Tropical_N	0.28111111111111114
Stagonosuchus	-1.29
Staurikosaurus	-1.38
Stauromatodon	0.84
Stegomus	0.27
Stenaulorhynchus	-1.305
Stenomyti	0.23
Stenoscelida	-1.28
Stereosternum_Temperate_S	-1.4082222222222223
Styracocephalus	-1.76
Syntarsus	0.22
Syntomiprosopus	0.09
Tachiraptor	-0.16
Tanaisosaurus	1.23
Tanystropheus_Tropical_S	0.6894444444444444
Tanytrachelos	0.19777777777777777
Tarjadia	-1.39
Tarsodactylus	0.62
Tasmaniosaurus	-1.72
Tawa	0.16
Taytalura	-1.45
Technosaurus	0.01
Tecovasaurus	0.03666666666666666
Tecovasuchus	0.09000000000000001
Teleocrater	-1.29
Temnodontosaurus	1.1600000000000001
Teraterpeton	0.35
Teratophon	-1.72
Teratosaurus_Temperate_N	0.18333333333333335
Termatosaurus	1.1
Terrestrisuchus	0.77
Tetrasauropus_Temperate_S	-0.59
Teyujagua	-1.29
Teyumbaita	-1.295
Thadeosaurus	-1.39
Thaisaurus	-0.26
Thalassiodracon	1.08
Thalattoarchon	0.51
Thalattosaurus	0.92
Thecodontosaurus	1.01
Theledectes	-1.72
Thelephon	-1.72
Thelerpeton	-1.72
Tholodus_Tropical_N	0.8075
Thuringothyris	0.49
Tichvinskia	1.4249999999999998
Ticinosuchus	0.65
Tikisuchus	-0.84
Timanophon	1.5233333333333334
Toretocnemus	0.01
Trachelosaurus	0.87
Trialestes	-1.45
Tricuspisaurus	1.08
Trihamus	0.62
Trilophosaurus	0.045454545454545456
Tropidosuchus	-1.39
Tuebingosaurus	0.94
Turfanosuchus	1.81
Typothorax	0.10241758241758242
Uatchitodon	0.09333333333333334
Unaysaurus	-1.28
Unguinychus	0.09
Uralosaurus	1.4333333333333333
Utatsusaurus	0.8699999999999999
Vallesaurus	0.63
Vancleavea	0.1284
Variodens	1.0675
Vellbergia	0.84
Velocipes	1.15
Venaticosuchus	-1.45
Venetoraptor	-1.47
Vinitasaura	0.1
Vivaron	0.16
Vjushkovisaurus	1.4249999999999998
Volcanosuchus	-0.84
Vonhuenia	1.35
Vritramimosaurus	1.44
Vytshegdosuchus	1.48
Wahlisaurus	1.19
Waluchelys	-1.47
Wangosaurus	0.59
Wannia	0.01
Wapitisaurus	0.96
Weigeltisaurus	0.8085714285714286
Whitakersaurus	0.3
Wimanius	0.65
Wumengosaurus	0.41
Xenodiphyodon	0.1
Xilousuchus	1.28
Xingxiulong	1.55
Xinminosaurus	0.41
Xinpusaurus	0.6922222222222222
Xiphopeza	0.62
Yarasuchus	-1.1
Yelaphomte	-1.47
Yimenosaurus	1.55
Youngetta	1.24
Youngina	-1.731111111111111
Youngosuchus	1.81
Yunguisaurus	0.59
Yunnanosaurus	1.55
Zanclodon	0.882
Zhongjiania	0.98
Zupaysaurus	-1.4
