Locality,cc,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
New Mexico,US,4167,Typothorax,227.0,208.5,3.8366,-43.9682,4
Connecticut,US,4166,Coelophysis,201.4,199.5,20.0114,-14.2092,4
Baden-Wurttemberg,DE,4165,Teratosaurus,227.0,208.5,32.5932,9.3339,3
Baden-Wurttemberg,DE,4164,Efraasia,216.7,213.2,32.5932,9.3339,3
Switzerland,CH,4162,Gresslyosaurus,213.2,208.5,30.9826,11.6474,3
Switzerland,CH,4163,Gresslyosaurus,213.2,208.5,30.9826,11.6474,3
Switzerland,CH,4161,Plateosaurus,227.0,208.5,30.9826,11.6474,3
Arizona,US,4160,Typothorax,227.0,208.5,1.3531,-47.1801,4
New Mexico,US,4159,Coelophysis,208.5,201.4,8.8311,-44.1355,4
New Mexico,US,4158,Machaeroprosopus,208.5,201.4,8.8311,-44.1355,4
Texas,US,4157,Trilophosaurus,227.0,208.5,-1.4701,-41.4649,4
Mashonaland Central,ZW,4156,Hyperodapedon,237.0,227.0,-47.0393,20.0808,1
Mashonaland Central,ZW,4155,Saturnalia,237.0,227.0,-47.0393,20.0808,1
New Mexico,US,4154,Revueltosaurus,227.0,208.5,1.3572,-44.289,4
Arizona,US,4152,Chindesaurus,227.0,208.5,1.3531,-47.1801,4
